Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Percentage share,3.09793,3.42525,3.99625,4.53425,4.72018,4.81414,5.24484,6.74881,6.52028,6.99337,6.73881,7.07067,6.20035,5.9898,6.2639,6.49917,7.26348,6.97705,8.14616,7.74314,7.20512,6.97905,8.38897,9.5659,6.87592,7.2979,7.68221,7.79,8.12281,8.47087,8.79384,9.05228,9.22354,9.38377,9.50139,9.60486,9.70552,9.82495
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,47.1073,48.5394,54.6293,53.1522,53.8535,68.6498,63.4635,64.3082,68.2482,66.7826,65.4538,83.9869,111.661,93.6663,90.1388,82.6,85.1683,86.8551,88.0399,97.4157,97.6921,102.218,105.492,105.942,111.199,119.265,127.463,126.839,128.075,130.348,133.701,137.709,141.908,146.24,150.727,155.423,160.358,165.426
Percentage share,1.39534,1.40709,1.50861,1.45382,1.424,1.74812,1.54342,1.50614,1.59329,1.49109,1.4484,1.85031,2.23903,1.73763,1.62589,1.50054,1.46597,1.46364,1.41925,1.56142,1.55761,1.62954,1.62079,1.56222,1.5833,1.65089,1.72045,1.67226,1.6519,1.64518,1.65179,1.66571,1.68102,1.69516,1.71003,1.72615,1.74375,1.76129
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,20.016,16.8606,27.216,30.1942,28.3164,25.6225,22.8143,21.0497,21.5952,22.1601,28.0124,40.0103,44.5815,46.7714,52.0219,61.1814,64.3327,65.7829,67.4258,71.0506,66.0005,56.9959,64.0962,67.7179,78.7327,86.4933,94.5885,93.8558,95.2051,97.3529,99.5434,101.884,104.328,107.023,109.832,112.509,115.265,118.13
Percentage share,1.21511,0.990186,1.59814,1.69264,1.55546,1.35423,1.15223,1.0597,1.1041,1.12321,1.36572,1.93279,2.14817,2.25888,2.48774,2.82409,3.01069,3.03768,2.98715,3.08859,2.79237,2.4017,2.63092,2.72711,3.09868,3.36137,3.62132,3.52947,3.51,3.51882,3.52744,3.53958,3.55344,3.57376,3.59803,3.61984,3.64978,3.689
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.67303,1.54611,1.67862,1.69102,1.44844,1.62154,2.48516,2.7015,2.68847,2.60492,2.48343,2.53763,2.47369,2.28622,2.63161,2.62349,2.41695,1.80975,2.34368,2.94472,2.66797,2.63083,2.64503,2.77576,2.90821,2.83523,3.08265,3.15731,3.21428,3.25983,3.30855,3.3824,3.46029,3.55038,3.65154,3.75777,3.86834,4.02897
Percentage share,4.65244,4.45926,4.9421,4.97924,4.42013,4.96721,8.02894,7.97195,7.31344,6.90076,6.41632,6.45196,6.17313,5.58477,6.28193,6.11678,5.50874,4.03977,5.13458,6.34257,5.65868,5.50001,5.45383,5.64862,6.15866,5.96208,6.4255,6.52351,6.61646,6.68526,6.75998,6.88524,7.01773,7.17385,7.35104,7.53707,7.73033,8.02177
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.3135,2.95539,2.8379,3.31219,3.37022,4.96661,4.95663,5.28195,5.56505,5.04881,5.87884,5.2909,6.09536,5.56835,5.21968,4.09997,3.71135,3.37161,3.19118,3.42426,3.3956,3.28391,3.44589,3.80634,3.94574,3.9083,4.24037,4.49143,4.62646,4.63977,4.64816,4.63696,4.62039,4.57569,4.62824,4.63727,4.65803,4.67714
Percentage share,3.502,3.0692,2.88448,3.31021,3.31276,4.78352,4.69812,4.90907,5.07349,4.53363,5.18156,4.57888,5.22167,4.8568,4.35036,3.42588,3.02081,2.81485,2.69315,2.69927,2.63461,2.58036,2.70006,2.92251,3.02718,3.11802,3.26632,3.36209,3.43228,3.41484,3.39723,3.36548,3.33015,3.31699,3.34173,3.34915,3.35742,3.36445
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,47.3943,48.5227,58.7415,55.8388,57.9347,63.2558,51.5591,55.1992,57.3741,63.423,63.3141,70.9576,87.2104,90.5851,90.8468,99.7154,103.716,118.92,144.365,153.278,158.655,154.084,148.842,156.88,170.405,176.082,182.825,186.964,192.319,198.45,204.686,210.704,216.362,222.141,227.397,233.435,239.432,246.59
Percentage share,1.78174,1.79714,2.12063,1.95241,1.96389,1.94523,1.56546,1.6435,1.69082,1.82271,1.75185,1.92351,2.31161,2.34687,2.29968,2.44958,2.45187,2.65129,3.04549,3.13808,3.14161,2.96236,2.76592,2.77182,2.90134,2.91833,2.94883,2.93336,2.93233,2.93768,2.93889,2.93432,2.92253,2.91036,2.89318,2.88811,2.88283,2.89342
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.649,3.43441,2.7027,2.24346,5.16256,6.01564,4.67963,3.5461,10.2053,10.3291,10.9152,12.1515,9.8906,7.98342,7.42733,5.13464,6.35321,7.65538,9.94121,9.61147,8.96233,7.17642,11.0684,10.2285,7.74629,8.40593,8.25893,7.94251,7.78958,7.65991,7.53559,7.43296,7.43652,7.40225,7.37228,7.35102,7.32579,7.32301
Percentage share,2.63152,1.60295,1.26386,1.05111,2.07063,2.5398,2.14137,1.82738,4.92593,4.71362,4.98119,5.54958,4.11093,3.8159,3.3792,2.33947,2.89878,3.48523,4.51441,4.35184,4.02749,3.199,4.88006,4.45425,3.32286,3.52456,3.43534,3.28398,3.20154,3.12946,3.06335,3.0066,2.99307,2.96741,2.94362,2.92636,2.91049,2.90358
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,38.7833,36.5661,46.8936,44.992,45.5796,65.2774,59.2331,56.8149,53.1615,54.5136,57.765,53.6746,53.5932,47.9719,54.2034,56.9935,50.8938,42.4396,56.5194,59.6895,94.0588,107.416,73.423,90.9672,90.2622,105.233,104.585,106.764,110.271,112.018,113.44,116.188,118.595,123.751,128.81,133.23,137.326,142.094
Percentage share,1.6983,1.56907,1.9735,1.86509,1.85993,2.61978,2.33878,2.20422,2.02704,2.04088,2.12259,1.93351,1.8943,1.65214,1.82039,1.86227,1.62189,1.31807,1.71494,1.76808,2.72534,3.03957,2.02524,2.45227,2.37736,2.75448,2.6995,2.71756,2.76807,2.7731,2.76955,2.79747,2.81601,2.88469,2.94974,3.00096,3.04556,3.10276
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,25.0188,26.9025,32.5946,32.3496,35.9348,32.5189,44.1313,47.2729,50.7633,56.5954,62.6434,70.8299,71.6012,70.1518,71.9629,98.3664,106.459,117.078,124.717,135.302,138.359,139.032,137.264,144.231,148.417,159.213,163.43,168.163,173.46,178.892,184.94,190.833,196.252,204.414,212.821,219.623,226.517,234.541
Percentage share,1.64406,1.71045,2.22141,2.12774,2.23102,1.97248,2.50786,2.64362,2.6575,2.84472,2.9902,3.18744,3.2038,3.13641,3.24926,4.41346,4.68983,4.91951,4.99322,5.19123,5.1492,5.04074,4.89459,5.00991,4.9311,5.11519,5.10219,5.09962,5.13589,5.17438,5.22857,5.27609,5.30872,5.41388,5.52111,5.58321,5.64518,5.73016
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,63.799,58.9799,73.1726,78.2181,86.9955,74.7216,79.8189,76.582,70.6574,67.0926,69.5389,71.8864,72.4594,69.7049,73.0745,84.7903,87.9511,85.214,94.5846,91.7667,88.6516,90.7755,85.1535,81.6733,76.4719,79.3726,82.4112,86.2759,90.9315,95.4741,100.564,105.71,110.877,114.738,118.295,121.949,125.726,130.301
Percentage share,7.3164,6.69465,8.16659,8.61433,9.60215,8.24742,8.64777,7.95244,7.36015,7.01805,7.28919,7.67197,7.74139,7.39967,7.12227,8.02179,8.30511,7.8466,8.415,7.95895,7.64897,8.06177,7.77658,7.4316,6.93309,7.15714,7.3393,7.57394,7.89058,8.18925,8.52635,8.85929,9.18514,9.44117,9.6879,9.9497,10.2298,10.5578
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.72221,4.21056,3.64071,3.67113,3.99323,4.7753,5.06465,4.96185,4.62698,5.24198,5.51763,5.49914,4.96035,4.31747,2.74825,3.61662,3.71509,3.94224,3.68707,3.58171,3.46351,3.45356,3.5687,4.28031,4.22666,4.2926,4.33104,4.35465,4.40035,4.46674,4.52431,4.60075,4.6855,4.77201,4.86434,4.98161,5.07557,5.2656
Percentage share,3.57318,3.98531,3.41404,3.41099,3.6599,4.33743,4.55936,4.42746,4.0748,4.57661,4.75578,4.69984,4.23704,3.55247,3.32424,2.8255,2.92817,2.93283,2.93588,2.75517,2.6577,2.66708,2.77305,3.326,3.28512,3.32379,3.3229,3.3131,3.34787,3.39838,3.45495,3.51333,3.57804,3.64411,3.72722,3.83289,3.94989,4.09778
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2004.54,1898.56,1867.19,1978.52,2187.58,2330.16,2436.03,2668.22,2764.53,2837.4,3136.22,3254.59,3469.25,3567.24,3543.85,3612.81,3661.43,3633.32,3665.94,3611.38,3642.26,3447.95,3464.92,3441.68,3478.55,3552.74,3692.41,3898.21,4011.84,4094.19,4179.28,4264.87,4353.54,4445.1,4530.64,4613.85,4668.32,4818.59
Percentage share,7.25829,6.62507,6.30903,6.46848,6.89637,7.12483,7.19484,7.8343,7.86311,7.61186,8.18386,8.43587,9.07826,9.29472,9.10039,9.13859,9.066,8.65718,8.51253,8.20916,8.12096,7.63371,7.46234,7.25611,7.10062,7.17776,7.38799,7.60828,7.67516,7.71693,7.77171,7.83068,7.89611,7.96742,8.02877,8.08714,8.09695,8.13471
Former Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.10672,4.7524,6.01869,6.22261,6.82001,7.55076,7.5926,7.93067,5.84646,7.07621,6.95998,5.8562,5.14104,4.71765,5.29757,6.16701,5.95289,5.9142,5.78066,5.88756,6.43121,6.18506,5.79327,6.48092,7.60076,8.17808,8.37394,8.14266,8.17802,8.31649,8.50372,8.68203,8.79063,8.85609,8.83913,8.82483,8.81022,8.8045
Percentage share,10.0164,10.8009,12.5389,12.4452,13.3726,14.5207,13.8047,14.6864,10.2569,12.8658,13.647,11.5964,10.2821,9.82845,10.8114,11.8596,11.6723,11.5965,11.1167,10.9029,11.2828,10.851,10.0282,11.1665,12.9301,13.6163,13.7556,13.2396,13.1633,13.2529,13.4177,13.5653,13.6022,13.6381,13.5607,13.5014,13.4554,13.4231
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,71.4294,28.2348,1623.21,37.9252,17.9188,15.5163,20.3638,20.4822,28.818,27.4767,31.5202,36.1993,44.8984,47.3801,55.1773,61.1872,66.5283,76.2043,69.3725,76.7137,86.1625,93.3869,93.8033,102.125,87.4061,85.9713,86.978,84.5735,81.3754,80.0031,79.0008,78.2466,77.4746,77.0374,76.5045,76.4025,76.0015,75.6958
Percentage share,6.22208,2.4388,133.83,3.17689,1.50403,1.31419,1.65617,1.6111,2.16651,1.95573,2.14555,2.31682,2.63063,2.76514,3.13003,3.3331,3.50674,3.85896,3.40231,3.69865,4.0509,4.37344,4.25672,4.42319,3.68749,3.51978,3.46122,3.26931,3.05733,2.93531,2.83133,2.73996,2.65134,2.57714,2.50433,2.44776,2.38355,2.32388
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,17.5745,15.7357,14.0221,14.7553,16.3796,18.0987,18.3845,22.5793,25.8821,27.4638,27.9829,31.5819,18.9035,24.6205,28.769,36.7911,37.6235,46.1609,60.5504,66.8556,75.2485,70.4105,67.2725,91.9416,112.451,127,136.479,135.411,139.283,142.921,147.054,150.641,152.767,154.68,156.76,158.751,160.535,163.153
Percentage share,2.53999,2.14474,1.85656,1.89241,1.96204,2.03165,2.00547,2.37353,2.64036,2.69872,2.62985,2.85404,1.69579,2.19923,2.49032,3.07407,2.98408,3.48672,4.44283,4.62735,4.90368,4.54516,4.28013,5.58678,6.64715,7.32703,7.69478,7.48441,7.56131,7.62986,7.72082,7.77959,7.7611,7.73894,7.72114,7.69862,7.66918,7.67814
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,8.1101,10.5471,11.9587,18.2649,17.6035,17.0306,18.152,19.2038,20.1128,18.7806,17.2764,21.8638,24.4723,28.1954,33.9728,35.8261,35.4045,41.2658,40.1769,38.3235,32.9769,44.3204,44.6125,41.2687,39.6275,39.23,39.6121,40.0402,41.3273,42.6425,43.8847,45.0778,46.05,47.0444,47.727,47.904,48.1352,48.4419
Percentage share,0.501823,0.643235,0.710001,1.0338,0.968577,0.907003,0.93058,0.962112,1.03534,0.954577,0.872133,1.09418,1.19134,1.3389,1.63642,1.60867,1.52278,1.67663,1.60869,1.46219,1.22974,1.60193,1.61241,1.45757,1.37232,1.30549,1.27096,1.24727,1.24904,1.25069,1.24952,1.24753,1.24178,1.2332,1.21889,1.20041,1.17756,1.15691
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,118.308,106.566,111.163,109.803,108.329,124.087,138.195,150.984,172.01,189.024,200.851,211.003,221.172,223.868,273.472,287.054,308.339,326.657,327.373,331.932,334.465,358.54,328.121,312.849,329.457,363.791,374.439,385.393,399.148,413.723,430.716,448.009,465.475,481.922,498.544,515.016,531.5,549.9
Percentage share,1.64505,1.44979,1.46196,1.40427,1.36747,1.5032,1.57991,1.62982,1.75529,1.85694,1.88669,1.91846,2.00919,1.92769,2.383,2.52906,2.67898,2.80691,2.6737,2.49915,2.45128,2.56081,2.28828,2.13587,2.19186,2.36347,2.38319,2.39873,2.43045,2.46739,2.51589,2.56308,2.60823,2.65203,2.69878,2.74698,2.79783,2.85682
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,19.7771,20.9942,22.34,22.6372,23.5,23.9499,24.9711,24.7849,24.1046,25.2338,25.6264,26.2556,21.2057,20.9351,20.8172,21.8006,24.6635,26.8378,26.6559,24.8399,25.0349,19.2315,17.3822,18.4678,18.2685,18.9771,19.8075,20.5126,21.041,21.6553,22.1272,22.6389,23.0811,23.4994,23.9291,24.3327,24.6542,25.0031
Percentage share,2.10083,2.16402,2.28152,2.30531,2.33427,2.36907,2.42055,2.30309,2.16948,2.22857,2.25458,2.29787,1.82429,1.84744,1.77868,1.85502,2.07893,2.21223,2.12415,1.96639,2.08062,1.68185,1.61613,1.76445,1.76438,1.81702,1.87484,1.91428,1.93115,1.95171,1.95718,1.96935,1.97855,1.98883,2.00316,2.01835,2.02987,2.04257
St Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.47873,2.43381,2.32527,2.75268,2.31241,2.21335,2.2644,1.81929,1.58805,1.68158,1.60359,1.39644,0.956267,0.995357,0.993765,1.514,2.0719,2.32661,2.2513,1.90733,1.57878,1.35119,1.48092,1.50096,1.50044,1.52825,1.60689,1.66456,1.74045,1.82282,1.89874,1.97161,2.03676,2.08676,2.14214,2.20176,2.26716,2.33766
Percentage share,13.932,13.7459,13.1969,15.4717,12.8728,12.2046,12.3688,9.68511,8.47543,8.85276,8.32913,7.15734,4.84245,4.91522,4.78694,7.11609,9.50498,10.5428,10.0781,8.43624,6.90057,5.83688,6.32347,6.33593,6.26229,6.30724,6.55777,6.71866,6.94922,7.20035,7.42083,7.6248,7.79489,7.90485,8.0327,8.17369,8.33316,8.5072
St Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,9.64454,9.41971,8.9743,9.43232,10.9936,11.7097,11.0255,13.4793,11.9787,13.2182,13.4267,12.2432,13.0867,11.2783,10.6236,13.7664,14.4913,16.5674,12.4796,12.5297,12.4418,11.6478,11.4282,12.2268,13.2679,14.3302,15.5902,16.4744,17.4035,18.0963,18.8912,19.6576,20.1964,20.3876,20.758,20.9821,21.3709,22.0261
Percentage share,21.4938,20.5416,20.1349,20.694,22.8954,23.99,21.6256,25.0326,21.3072,23.7524,23.7859,20.478,20.5974,18.1834,16.8212,21.6065,23.2194,25.6551,18.3619,18.2715,18.0041,16.8166,16.2275,17.0658,18.1625,19.1341,20.3623,21.1987,22.0633,22.6026,23.2467,23.8323,24.1236,24.0031,24.0953,24.0561,24.2378,24.7116
St Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.63592,2.70707,3.20737,2.83187,2.72872,2.57867,2.15796,2.57886,2.43392,2.86316,2.7552,2.96729,2.83104,2.87254,2.95244,2.91947,2.85233,3.04861,3.08648,2.70674,2.31152,2.20387,2.13063,2.24268,2.22768,2.18308,2.16854,2.18415,2.25643,2.33648,2.41591,2.48629,2.54658,2.58671,2.62123,2.65488,2.68682,2.72169
Percentage share,7.6511,7.78503,9.13032,7.9699,7.5861,7.07952,5.85415,6.92088,6.47031,7.54707,7.20486,7.69632,7.2782,7.31474,7.44283,7.2839,7.04319,7.45299,7.47328,6.49321,5.49639,5.19879,4.99089,5.22183,5.16093,5.03714,4.99554,5.02122,5.17964,5.35535,5.52911,5.68168,5.81072,5.89345,5.96317,6.03367,6.1032,6.17933
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.384492,0.255294,0.115007,0.248535,0.294465,0.39608,4.8595,5.10192,2.97435,2.9426,2.94035,3.44285,3.10841,2.34897,1.78567,1.35489,3.96842,5.16237,4.8487,3.42282,2.97498,2.49299,2.20639,1.98463,1.69521,1.73183,1.94595,1.80392,1.75531,1.74369,1.75023,1.76255,1.77555,1.7952,1.80994,1.8271,1.84307,1.85752
Percentage share,0.302462,0.190618,0.08,0.187613,0.236745,0.320653,3.76798,3.76591,2.19475,2.10475,2.06167,2.45243,2.16155,1.58313,1.18347,0.876574,2.50881,3.21679,2.95634,2.04632,1.74653,1.43519,1.24297,1.09749,0.923576,0.925343,1.01617,0.920965,0.876601,0.852015,0.837006,0.825161,0.816658,0.813848,0.809041,0.805676,0.801775,0.797185
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.2564,10.8971,12.2101,14.629,14.4629,13.4427,16.773,17.4928,19.1042,20.1008,21.1787,21.1857,22.7388,26.2614,26.5559,24.8588,24.3948,31.7571,24.8981,22.9726,21.5848,22.6692,22.4843,24.3158,27.0086,26.5947,27.4341,27.7071,27.84,27.8546,27.7305,27.6007,27.5015,27.4987,27.3858,27.3325,27.1968,27.4336
Percentage share,2.7571,2.97735,3.26473,3.64814,3.56229,3.31918,4.03196,4.04926,4.30276,4.36975,4.42144,4.33245,4.52063,5.10923,5.05826,4.6552,4.34071,5.5326,4.24882,3.90691,3.60949,3.85531,3.81813,4.06605,4.46543,4.30571,4.38289,4.37444,4.35968,4.33035,4.27939,4.22137,4.18235,4.16901,4.13618,4.11619,4.0835,4.10688
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4.62211,5.63563,4.75804,3.86442,2.84626,3.95332,3.96087,3.2288,3.63092,2.718,2.8098,3.00431,3.06762,3.12308,3.2302,4.30835,3.58938,3.59421,3.34935,3.28042,3.50431,2.83894,2.94909,2.97829,3.33014,3.37102,3.45013,3.45235,3.52884,3.5591,3.60279,3.64833,3.68493,3.69477,3.69173,3.67848,3.65869,3.64208
Percentage share,65.1002,78.2726,65.1786,52.2219,37.9502,52.0173,51.4399,41.3949,45.9611,33.975,34.6889,36.638,36.9593,36.7421,37.5604,49.5213,40.7884,40.3844,37.215,35.6567,37.6807,30.2015,31.0431,30.7768,33.974,34.0506,34.503,34.1802,34.6486,34.6595,34.7996,34.9943,35.0999,34.9837,34.7463,34.4152,34.026,33.7028
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,29.0515,31.7279,33.7104,33.466,33.2903,35.2244,38.6784,37.1801,40.3856,40.2341,40.0671,40.4988,42.9452,41.9362,41.3744,44.3953,51.2964,47.1806,43.5026,47.6225,44.9302,52.2151,49.2475,57.5823,52.0869,47.0065,46.0323,46.5764,47.8143,48.7495,50.2314,51.8133,52.882,53.6607,54.5011,55.3112,56.1726,57.3893
Percentage share,2.3259,2.50081,2.64635,2.60412,2.52126,2.65477,2.86326,2.72072,2.97788,2.92908,2.84583,2.89281,3.13403,3.04898,3.11188,3.3836,3.72563,3.37579,3.0083,3.18426,2.91136,3.32379,3.10196,3.57884,3.21542,2.89444,2.80011,2.80989,2.85103,2.88999,2.94381,3.0022,3.04691,3.08414,3.1247,3.16333,3.20471,3.27121
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,4234.76,4295.77,4446.22,4497.31,4576.44,4741.72,4848.13,5013.01,5344.65,5585.75,5728.32,5848.38,6018.17,5792.31,5677.75,5611.2,5865.37,5686.53,5636.04,5492.92,5493.96,5081.51,4907.1,4994.69,5228.47,5302.19,5301.99,5344.78,5406.18,5458.65,5531.99,5640.42,5745.87,5875.73,6031.95,6252.67,6417.78,6591.02
Percentage share,3.68323,3.66137,3.74275,3.82058,3.86237,3.94293,3.93929,4.01336,4.21768,4.31091,4.35693,4.38078,4.39601,4.22984,4.1601,4.07408,4.21242,4.01279,3.9026,3.76098,3.77921,3.6324,3.52836,3.57072,3.66998,3.68387,3.62379,3.58398,3.56891,3.5732,3.59766,3.64204,3.68468,3.74193,3.81455,3.92751,4.0063,4.08869
US Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,11.5012,9.53895,9.05749,9.82728,10.1194,11.2838,10.3723,9.60208,4.42642,7.64177,8.36181,7.18938,4.6335,6.38539,6.34932,6.23171,6.22172,6.43066,7.27597,7.31745,7.42217,6.83701,5.99012,5.8561,4.74333,4.73294,4.89233,5.03253,5.13705,5.27046,5.39791,5.42885,5.53635,5.66123,5.76183,5.85562,5.91204,5.96984
Percentage share,24.9261,20.7035,19.3,20.6542,20.9903,21.8467,21.8135,21.3048,10.2062,17.5673,19.139,16.6652,10.4124,13.8392,14.1159,14.2798,13.4231,13.5952,14.9588,14.7687,14.9674,13.9922,12.6716,12.6973,10.6212,10.5805,10.8069,10.947,11.0033,11.1169,11.2127,11.131,11.2172,11.3473,11.4503,11.5501,11.5746,11.6007
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,159.323,179.218,198.638,201.015,172.979,159.646,199.056,206.695,211.073,228.89,243.971,260.509,267.973,294.524,290.716,300.662,327.525,348.341,376.596,365.324,356.3,390.694,330.889,341.009,341.622,358.099,353.338,379.29,377.158,386.724,392.204,398.719,416.554,436.192,454.845,471.154,483.016,503.947
Percentage share,2.46158,2.69066,2.89716,2.85248,2.38738,2.14255,2.59767,2.62248,2.60955,2.75667,2.86187,2.98538,3.03302,3.13236,2.99958,3.07422,3.19582,3.31561,3.43282,3.22836,3.05451,3.27937,2.75836,2.78954,2.74828,2.80016,2.70124,2.94036,2.87401,2.89052,2.87403,2.86701,2.94236,3.02739,3.10401,3.16139,3.18847,3.27426
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,282.649,272.246,280.916,301.251,294.111,301.362,342.236,355.629,368.648,372.716,383.006,383.48,447.682,461.06,464.266,454.775,474.574,467.431,471.936,486.717,481.639,483.054,488.083,491.718,501.801,496.192,504.637,495.464,480.993,486.855,491.888,495.54,500.975,506.424,514.647,526.732,539.385,549.436
Percentage share,3.82065,3.52698,3.57491,3.92744,3.85235,3.93558,4.33253,4.34306,4.44022,4.4548,4.49681,4.42155,5.02891,5.11414,5.05125,4.83951,4.96512,4.731,4.66191,4.66481,4.48809,4.47048,4.42815,4.38483,4.42237,4.328,4.35784,4.20707,4.00519,3.98195,3.95452,3.91093,3.88303,3.85533,3.85253,3.88145,3.91597,3.93689
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,453.361,506.815,516.021,511.824,501.542,500.164,452.699,446.314,436.431,470.974,493.786,517.245,571.538,597.473,641.376,697.94,754.506,814.859,924.279,937.268,931.322,854.327,849.931,845.231,862.414,881.866,903.533,922.793,935.453,956.858,988.177,1002.61,1016.54,1022.76,1028.56,1038.41,1049.59,1061.79
Percentage share,1.10063,1.09006,1.13669,1.17308,1.19801,1.24734,1.18099,1.22056,1.25411,1.31393,1.33855,1.36353,1.46627,1.46583,1.50767,1.5747,1.66434,1.75823,1.95173,1.94035,1.89546,1.71826,1.66898,1.62563,1.62613,1.63246,1.63066,1.62521,1.60896,1.60878,1.62408,1.61076,1.59641,1.57643,1.55624,1.54406,1.53554,1.52837
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.40943,2.65398,3.16888,3.49559,3.30612,2.47428,2.50766,2.83149,2.85863,3.00621,3.20404,3.87058,4.60636,4.83942,4.97459,4.70286,4.74484,5.11,4.37577,4.52729,4.24781,4.64789,4.9767,4.70912,4.88157,5.03564,5.0048,5.17756,5.32072,5.454,5.63011,5.78846,5.89369,6.04076,6.22697,6.39844,6.55755,6.68278
Percentage share,2.55872,2.69451,3.07396,3.27468,3.02838,2.2161,2.19612,2.42464,2.35121,2.37496,2.4313,2.82112,3.25999,3.30892,3.24501,3.09806,2.9398,3.0544,2.50904,2.5363,2.33653,2.54982,2.65261,2.42218,2.46166,2.48226,2.41159,2.4328,2.43197,2.42499,2.43749,2.44492,2.4334,2.44282,2.47117,2.49923,2.52851,2.5599
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,13.3917,11.9661,18.8865,9.13908,52.9308,53.1412,37.1502,52.8298,92.485,94.918,127.825,204.583,314.05,389.483,441.432,377.961,523.476,592.081,609.677,576.908,556.95,643.787,706.288,850.687,925.924,950.027,985.409,1044.93,1115.17,1190.42,1267.03,1320.01,1367.91,1425.28,1473.8,1522.98,1579.78,1640.39
Percentage share,0.360582,0.312628,0.479915,0.227063,1.28322,1.25313,0.852179,1.17273,1.98343,1.94256,2.4891,3.83129,5.68671,6.76318,7.36748,6.07904,8.12463,8.83937,8.77014,8.00283,7.46854,8.41022,8.99508,10.595,11.2959,11.5108,11.7116,12.2157,12.8268,13.4957,14.1609,14.5471,14.8674,15.2846,15.5988,15.9119,16.2956,16.7057
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,11567.5,12612.1,12520.4,13630.1,13764.3,14065.4,14972,15490.4,14754.5,15274,15612.3,15652.9,18891.1,18406.9,18807.6,19585,20659.7,22199,23009,22192.5,20781.1,20724.3,22105.1,22688.2,22716.7,22917,23160,23428.3,23624.8,23933.7,24181.6,24485.2,24697.3,24930.1,25195.2,25525.2,26112.2,26709.8
