am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,cat_code,spp_group
Fis-113003,NA,NA,NA,Gobiopsis canalis,N.E.,NA
Fis-113007,NA,NA,NA,Priolepis randalli,N.E.,NA
Fis-113054,NA,NA,NA,Uranoscopus dollfusi,NA,NA
Fis-113074,NA,NA,NA,Canthidermis macrolepis,N.E.,NA
Fis-127258,NA,NA,NA,Xyrias multiserialis,N.E.,NA
Fis-113108,NA,NA,NA,Holapogon maximus,N.E.,NA
Fis-113184,NA,NA,NA,Rhabdamia nigrimentum,N.E.,NA
Fis-113210,NA,NA,NA,Trichonotus halstead,N.E.,NA
Fis-167320,NA,NA,NA,Ostorhinchus flavus,N.E.,NA
Fis-113258,NA,NA,NA,Parapercis colemani,N.E.,NA
Fis-113283,NA,NA,NA,Amblyeleotris masuii,N.E.,NA
Fis-113287,NA,NA,NA,Psilogobius mainlandi,N.E.,NA
Fis-114086,NA,NA,NA,Labichthys yanoi,N.E.,NA
Fis-114108,NA,NA,NA,Bathypterois longicauda,N.E.,NA
Fis-132771,NA,NA,NA,Guttigadus globosus,N.E.,NA
Fis-114166,NA,NA,NA,Antipodocottus megalops,N.E.,NA
Fis-114201,NA,NA,NA,Notothenia angustata,N.E.,NA
Fis-114204,NA,NA,NA,Limnichthys polyactis,N.E.,NA
Fis-114207,NA,NA,NA,Grahamichthys radiata,N.E.,NA
Fis-114232,NA,NA,NA,Bembrops morelandi,N.E.,NA
Fis-114235,NA,NA,NA,Minous longimanus,N.E.,NA
Fis-114245,NA,NA,NA,Amblyeleotris rhyax,N.E.,NA
Fis-163965,NA,NA,NA,Matanui profundum,N.E.,NA
Fis-114378,NA,NA,NA,Bembrops magnisquamis,N.E.,NA
Fis-114448,NA,NA,NA,Bembrops nematopterus,N.E.,NA
Fis-114531,NA,NA,NA,Ateleopus indicus,N.E.,NA
Fis-114550,NA,NA,NA,Notacanthus indicus,N.E.,NA
Fis-114552,NA,NA,NA,Bathygadus furvescens,N.E.,NA
Fis-114565,NA,NA,NA,Coryphaenoides macrolophus,N.E.,NA
Fis-114584,NA,NA,NA,Physiculus peregrinus,N.E.,NA
Fis-114586,NA,NA,NA,Gadella edelmanni,N.E.,NA
Fis-114645,NA,NA,NA,Plectrogenium barsukovi,N.E.,NA
Fis-115697,NA,NA,NA,Coelorinchus quadricristatus,N.E.,NA
Fis-114756,NA,NA,NA,Poecilopsetta zanzibarensis,N.E.,NA
Fis-115461,NA,NA,NA,Careproctus pycnosoma,N.E.,NA
Fis-115627,NA,NA,NA,Lophiocharon lithinostomus,N.E.,NA
Fis-115864,NA,NA,NA,Diaphus minax,N.E.,NA
Fis-115957,NA,NA,NA,Physiculus kaupi,N.E.,NA
Fis-116293,NA,NA,NA,Idiastion pacificum,N.E.,NA
Fis-116296,NA,NA,NA,Andriashevia aptera,N.E.,NA
Fis-116302,NA,NA,NA,Davidijordania jordaniana,N.E.,NA
Fis-116311,NA,NA,NA,Gymnelopsis brevifenestrata,N.E.,NA
Fis-116318,NA,NA,NA,Gymnelus pauciporus,N.E.,NA
Fis-116363,NA,NA,NA,Nalbantichthys elongatus,N.E.,NA
Fis-116365,NA,NA,NA,Opaeophacus acrogeneius,N.E.,NA
Fis-116371,NA,NA,NA,Aiakas kreffti,N.E.,NA
Fis-116472,NA,NA,NA,Crossostomus chilensis,N.E.,NA
Fis-116585,NA,NA,NA,Letholycus microphthalmus,N.E.,NA
Fis-116592,NA,NA,NA,Lycodapus derjugini,N.E.,NA
Fis-116731,NA,NA,NA,Lycenchelys bachmanni,N.E.,NA
Fis-116742,NA,NA,NA,Lycenchelys cicatrifer,NA,NA
Fis-116747,NA,NA,NA,Lycenchelys incisa,NA,NA
Fis-116754,NA,NA,NA,Lycenchelys makushok,N.E.,NA
Fis-116910,NA,NA,NA,Lycenchelys porifer,N.E.,NA
Fis-116919,NA,NA,NA,Lycenchelys rosea,NA,NA
Fis-116926,NA,NA,NA,Lycenchelys scaurus,NA,NA
Fis-116941,NA,NA,NA,Lycodes adolfi,N.E.,NA
Fis-116964,NA,NA,NA,Lycodes fasciatus,N.E.,NA
Fis-116970,NA,NA,NA,Lycodes microlepidotus,NA,NA
Fis-116972,NA,NA,NA,Lycodes ocellatus,N.E.,NA
Fis-116973,NA,NA,NA,Lycodes paucilepidotus,N.E.,NA
Fis-116974,NA,NA,NA,Lycodes pectoralis,N.E.,NA
Fis-117037,NA,NA,NA,Starksia variabilis,N.E.,NA
Fis-117083,NA,NA,NA,Lycodes schmidti,N.E.,NA
Fis-117085,NA,NA,NA,Lycodonus malvinensis,N.E.,NA
Fis-117105,NA,NA,NA,Ophthalmolycus macrops,N.E.,NA
Fis-117113,NA,NA,NA,Pachycara gymninium,N.E.,NA
Fis-117119,NA,NA,NA,Pachycara mesoporum,N.E.,NA
Fis-117121,NA,NA,NA,Pachycara pammelas,N.E.,NA
Fis-117126,NA,NA,NA,Pachycara sulaki,N.E.,NA
Fis-117130,NA,NA,NA,Pachycara suspectum,N.E.,NA
Fis-117134,NA,NA,NA,Piedrabuenia ringueleti,N.E.,NA
Fis-117143,NA,NA,NA,Plesienchelys stehmanni,N.E.,NA
Fis-117153,NA,NA,NA,Pogonolycus marinae,N.E.,NA
Fis-117358,NA,NA,NA,Bothrocara elongatum,N.E.,NA
Fis-117422,NA,NA,NA,Lycenchelys alta,NA,NA
Fis-118106,NA,NA,NA,Scorpaena melasma,N.E.,NA
Fis-118261,NA,NA,NA,Ernogrammus walkeri,N.E.,NA
Fis-159517,NA,NA,NA,Coelorinchus horribilis,N.E.,NA
Fis-165753,NA,NA,NA,Coelorinchus spathulatus,N.E.,NA
Fis-134134,NA,NA,NA,Stemonosudis molesta,N.E.,NA
Fis-120985,NA,NA,NA,Girella fimbriata,N.E.,NA
Fis-164073,NA,NA,NA,Pseudogramma megamyctera,NA,NA
Fis-121646,NA,NA,NA,Suttonia suttoni,N.E.,NA
Fis-121672,NA,NA,NA,Diplogrammus randalli,N.E.,NA
Fis-121821,NA,NA,NA,Bidenichthys beeblebroxi,N.E.,NA
Fis-123096,NA,NA,NA,Coryphaenoides fernandezianus,N.E.,NA
Fis-123114,NA,NA,NA,Bathyclupea hoskynii,N.E.,NA
Fis-123121,NA,NA,NA,Chlorophthalmus mento,N.E.,NA
Fis-123164,NA,NA,NA,Chromis jubauna,NA,NA
Fis-123205,NA,NA,NA,Sphyraena tome,NA,NA
Fis-123220,NA,NA,NA,Parapercis dockinsi,N.E.,NA
Fis-123652,NA,NA,NA,Icelus rastrinoides,N.E.,NA
Fis-123653,NA,NA,NA,Icelus stenosomus,N.E.,NA
Fis-123670,NA,NA,NA,Brachyopsis segaliensis,N.E.,NA
Fis-123700,NA,NA,NA,Hypsagonus corniger,N.E.,NA
Fis-123702,NA,NA,NA,Liparis latifrons,N.E.,NA
Fis-123713,NA,NA,NA,Pseudalectrias tarasovi,N.E.,NA
Fis-123716,NA,NA,NA,Askoldia variegata,N.E.,NA
Fis-123790,NA,NA,NA,Pterygotrigla spirai,N.E.,NA
Fis-165321,NA,NA,NA,Callionymus ikedai,N.E.,NA
Fis-123892,NA,NA,NA,Callionymus leucopoecilus,N.E.,NA
Fis-154404,NA,NA,NA,Synchiropus corallinus,N.E.,NA
Fis-123968,NA,NA,NA,Enchelybrotula paucidens,N.E.,NA
Fis-123975,NA,NA,NA,Astronesthes lampara,N.E.,NA
Fis-124020,NA,NA,NA,Gadella thysthlon,N.E.,NA
Fis-124120,NA,NA,NA,Gymnothorax annulatus,N.E.,NA
Fis-124148,NA,NA,NA,Gymnothorax randalli,N.E.,NA
Fis-124363,NA,NA,NA,Eumicrotremus gyrinops,N.E.,NA
Fis-124377,NA,NA,NA,Lasiognathus waltoni,N.E.,NA
Fis-124378,NA,NA,NA,Lasiognathus intermedius,N.E.,NA
Fis-168351,NA,NA,NA,Scalicus quadratorostratus,N.E.,NA
Fis-124392,NA,NA,NA,Lepidotrigla annamarae,N.E.,NA
Fis-124394,NA,NA,NA,Lepidotrigla musorstom,N.E.,NA
Fis-124396,NA,NA,NA,Lepidotrigla nana,N.E.,NA
Fis-124406,NA,NA,NA,Pterygotrigla robertsi,N.E.,NA
Fis-124492,NA,NA,NA,Crystallichthys mirabilis,N.E.,NA
Fis-158438,NA,NA,NA,Engyprosopon osculus,N.E.,NA
Fis-165736,NA,NA,NA,Ostorhinchus griffini,N.E.,NA
Fis-163614,NA,NA,NA,Apogonichthyoides heptastygma,NA,NA
Fis-167809,NA,NA,NA,Zapogon isus,NA,NA
Fis-159506,NA,NA,NA,Coelorinchus caudani,N.E.,NA
Fis-125057,NA,NA,NA,Pomadasys unimaculatus,N.E.,NA
Fis-125140,NA,NA,NA,Astronesthes tchuvasovi,N.E.,NA
Fis-125146,NA,NA,NA,Astronesthes quasiindicus,N.E.,NA
Fis-125160,NA,NA,NA,Astronesthes lucibucca,N.E.,NA
Fis-125530,NA,NA,NA,Artediellus gomojunovi,N.E.,NA
Fis-125533,NA,NA,NA,Artediellus miacanthus,N.E.,NA
Fis-125561,NA,NA,NA,Careproctus abbreviatus,N.E.,NA
Fis-125565,NA,NA,NA,Careproctus attenuatus,N.E.,NA
Fis-125571,NA,NA,NA,Careproctus scottae,N.E.,NA
Fis-148809,NA,NA,NA,Cyclopteropsis brashnikowi,N.E.,NA
Fis-125613,NA,NA,NA,Eumicrotremus soldatovi,N.E.,NA
Fis-125618,NA,NA,NA,Liparis curilensis,N.E.,NA
Fis-125623,NA,NA,NA,Liparis megacephalus,N.E.,NA
Fis-125625,NA,NA,NA,Liparis micraspidophorus,N.E.,NA
Fis-125628,NA,NA,NA,Careproctus microstomus,N.E.,NA
Fis-125681,NA,NA,NA,Careproctus canus,N.E.,NA
Fis-125682,NA,NA,NA,Careproctus zachirus,N.E.,NA
Fis-125683,NA,NA,NA,Careproctus bowersianus,N.E.,NA
Fis-125688,NA,NA,NA,Careproctus mollis,N.E.,NA
Fis-125693,NA,NA,NA,Acantholiparis caecus,N.E.,NA
Fis-125707,NA,NA,NA,Creedia partimsquamigera,N.E.,NA
Fis-125726,NA,NA,NA,Paraliparis mento,N.E.,NA
Fis-125858,NA,NA,NA,Psenopsis intermedia,N.E.,NA
Fis-125864,NA,NA,NA,Ariomma parini,N.E.,NA
Fis-125872,NA,NA,NA,Liparis rhodosoma,N.E.,NA
Fis-125881,NA,NA,NA,Polypera simushirae,N.E.,NA
Fis-125886,NA,NA,NA,Maurolicus parvipinnis,N.E.,NA
Fis-125888,NA,NA,NA,Maurolicus rudjakovi,N.E.,NA
Fis-125898,NA,NA,NA,Maurolicus mucronatus,NA,NA
Fis-139661,NA,NA,NA,Squaloliparis dentatus,N.E.,NA
Fis-125911,NA,NA,NA,Careproctus marginatus,N.E.,NA
Fis-125985,NA,NA,NA,Cubiceps nanus,NA,NA
Fis-126015,NA,NA,NA,Nezumia obliquata,NA,NA
Fis-126031,NA,NA,NA,Coelorinchus doryssus,N.E.,NA
Fis-126034,NA,NA,NA,Erythrocles acarina,N.E.,NA
Fis-126068,NA,NA,NA,Emmelichthys karnellai,N.E.,NA
Fis-126085,NA,NA,NA,Astronesthes dupliglandis,N.E.,NA
Fis-126098,NA,NA,NA,Conocara kreffti,N.E.,NA
Fis-126109,NA,NA,NA,Halophryne hutchinsi,N.E.,NA
Fis-126125,NA,NA,NA,Eustomias tomentosis,N.E.,NA
Fis-126136,NA,NA,NA,Psychrolutes occidentalis,N.E.,NA
Fis-126140,NA,NA,NA,Psychrolutes sio,N.E.,NA
Fis-159768,NA,NA,NA,Nemapteryx macronotacantha,N.E.,NA
Fis-126268,NA,NA,NA,Pseudamiops diaphanes,N.E.,NA
Fis-126275,NA,NA,NA,Apogon deetsie,N.E.,NA
Fis-126614,NA,NA,NA,Coelorinchus commutabilis,N.E.,NA
Fis-126623,NA,NA,NA,Coelorinchus macrorhynchus,N.E.,NA
Fis-126630,NA,NA,NA,Coelorinchus platorhynchus,N.E.,NA
Fis-126740,NA,NA,NA,Mataeocephalus hyostomus,N.E.,NA
Fis-126746,NA,NA,NA,Coryphaenoides asprellus,N.E.,NA
Fis-126888,NA,NA,NA,Coryphaenoides hextii,N.E.,NA
Fis-126889,NA,NA,NA,Coryphaenoides hoskynii,N.E.,NA
Fis-126893,NA,NA,NA,Coryphaenoides tydemani,N.E.,NA
Fis-126901,NA,NA,NA,Coryphaenoides woodmasoni,N.E.,NA
Fis-126907,NA,NA,NA,Coryphaenoides yaquinae,NA,NA
Fis-126921,NA,NA,NA,Paraploactis intonsa,N.E.,NA
Fis-126938,NA,NA,NA,Hymenocephalus neglectissimus,N.E.,NA
Fis-126939,NA,NA,NA,Hymenocephalus semipellucidus,N.E.,NA
Fis-126946,NA,NA,NA,Kuronezumia pallida,N.E.,NA
Fis-126951,NA,NA,NA,Pseudocetonurus septifer,N.E.,NA
Fis-127017,NA,NA,NA,Ventrifossa macrodon,N.E.,NA
Fis-127025,NA,NA,NA,Ventrifossa teres,N.E.,NA
Fis-127052,NA,NA,NA,Coelorinchus gladius,N.E.,NA
Fis-127050,NA,NA,NA,Hymenocephalus antraeus,N.E.,NA
Fis-127054,NA,NA,NA,Nezumia holocentra,N.E.,NA
Fis-127064,NA,NA,NA,Hymenocephalus barbatulus,NA,NA
Fis-127074,NA,NA,NA,Scorpaenopsis furneauxi,N.E.,NA
Fis-127081,NA,NA,NA,Hippocampus zebra,NA,NA
Fis-127124,NA,NA,NA,Pyramodon parini,N.E.,NA
Fis-127126,NA,NA,NA,Ilyophis nigeli,N.E.,NA
Fis-127130,NA,NA,NA,Echiodon coheni,N.E.,NA
Fis-150727,NA,NA,NA,Soleichthys microcephalus,N.E.,NA
Fis-127248,NA,NA,NA,Hastatobythites arafurensis,N.E.,NA
Fis-127250,NA,NA,NA,Pempheris ornata,N.E.,NA
Fis-127274,NA,NA,NA,Cleisthenes pinetorum,N.E.,NA
Fis-127278,NA,NA,NA,Microstomus shuntovi,N.E.,NA
Fis-127324,NA,NA,NA,Neocyttus psilorhynchus,N.E.,NA
Fis-127326,NA,NA,NA,Neocyttus acanthorhynchus,N.E.,NA
Fis-127434,NA,NA,NA,Polyipnus ovatus,N.E.,NA
Fis-127439,NA,NA,NA,Polyipnus danae,N.E.,NA
Fis-127446,NA,NA,NA,Polyipnus paxtoni,N.E.,NA
Fis-127519,NA,NA,NA,Monocentris reedi,N.E.,NA
Fis-127530,NA,NA,NA,Congiopodus kieneri,N.E.,NA
Fis-127558,NA,NA,NA,Echinogobius hayashii,N.E.,NA
Fis-127560,NA,NA,NA,Lycenchelys aurantiaca,N.E.,NA
Fis-127585,NA,NA,NA,Grammatonotus macrophthalmus,N.E.,NA
Fis-127586,NA,NA,NA,Alcockia rostrata,N.E.,NA
Fis-127588,NA,NA,NA,Scopelengys clarkei,N.E.,NA
Fis-127938,NA,NA,NA,Gilbertidia pustulosa,N.E.,NA
Fis-127977,NA,NA,NA,Polymixia fusca,N.E.,NA
Fis-127999,NA,NA,NA,Suggrundus cooperi,N.E.,NA
Fis-128034,NA,NA,NA,Glossanodon elongatus,N.E.,NA
Fis-128093,NA,NA,NA,Gigantactis microdontis,N.E.,NA
Fis-128094,NA,NA,NA,Gigantactis savagei,N.E.,NA
Fis-128108,NA,NA,NA,Schindleria pietschmanni,N.E.,NA
Fis-128131,NA,NA,NA,Ptarmus gallus,N.E.,NA
Fis-128205,NA,NA,NA,Cocotropus dermacanthus,N.E.,NA
Fis-128262,NA,NA,NA,Champsodon fimbriatus,N.E.,NA
Fis-128361,NA,NA,NA,Parupeneus jansenii,N.E.,NA
Fis-163619,NA,NA,NA,Apogonichthyoides regani,NA,NA
Fis-128455,NA,NA,NA,Platycephalus chauliodous,N.E.,NA
Fis-128806,NA,NA,NA,Batrachoides gilberti,N.E.,NA
Fis-129190,NA,NA,NA,Carangoides ciliarius,N.E.,NA
Fis-129634,NA,NA,NA,Hyporhamphus gamberur,NA,NA
Fis-158519,NA,NA,NA,Vladichthys gloverensis,N.E.,NA
Fis-130465,NA,NA,NA,Bathygadus garretti,N.E.,NA
Fis-130618,NA,NA,NA,Hippocampus borboniensis,DD,NA
Fis-130671,NA,NA,NA,Benthenchelys cartieri,N.E.,NA
Fis-130825,NA,NA,NA,Mixomyrophis pusillipinna,N.E.,NA
Fis-146622,NA,NA,NA,Scolecenchelys cookei,N.E.,NA
Fis-130841,NA,NA,NA,Muraenichthys philippinensis,N.E.,NA
Fis-130905,NA,NA,NA,Ophichthus kunaloa,NA,NA
Fis-130963,NA,NA,NA,Ophichthus celebicus,N.E.,NA
Fis-131008,NA,NA,NA,Myrophis anterodorsalis,N.E.,NA
Fis-131178,NA,NA,NA,Glenoglossa wassi,N.E.,NA
Fis-131191,NA,NA,NA,Allips concolor,N.E.,NA
Fis-155713,NA,NA,NA,Synagrops argyreus,N.E.,NA
Fis-131311,NA,NA,NA,Ophichthus arneutes,N.E.,NA
Fis-131323,NA,NA,NA,Ophichthus tetratrema,N.E.,NA
Fis-131406,NA,NA,NA,Parmops coruscans,N.E.,NA
Fis-131440,NA,NA,NA,Ateleopus purpureus,N.E.,NA
Fis-131906,NA,NA,NA,Aulotrachichthys heptalepis,N.E.,NA
Fis-131920,NA,NA,NA,Aulotrachichthys argyrophanus,N.E.,NA
Fis-131994,NA,NA,NA,Breviraja marklei,N.E.,NA
Fis-132064,NA,NA,NA,Leptobrotula breviventralis,N.E.,NA
Fis-132071,NA,NA,NA,Bregmaceros pescadorus,N.E.,NA
Fis-132076,NA,NA,NA,Monomitopus torvus,N.E.,NA
Fis-132079,NA,NA,NA,Monomitopus longiceps,N.E.,NA
Fis-132083,NA,NA,NA,Monomitopus vitiazi,N.E.,NA
Fis-132085,NA,NA,NA,Monomitopus americanus,N.E.,NA
Fis-132087,NA,NA,NA,Monomitopus magnus,N.E.,NA
Fis-170312,NA,NA,NA,Ostorhinchus cheni,N.E.,NA
Fis-132142,NA,NA,NA,Porogadus silus,N.E.,NA
Fis-132152,NA,NA,NA,Tauredophidium hextii,N.E.,NA
Fis-132156,NA,NA,NA,Pycnocraspedum armatum,N.E.,NA
Fis-132157,NA,NA,NA,Apagesoma edentatum,N.E.,NA
Fis-132159,NA,NA,NA,Barathrites parri,N.E.,NA
Fis-132167,NA,NA,NA,Bassozetus nasus,N.E.,NA
Fis-132169,NA,NA,NA,Porogadus catena,N.E.,NA
Fis-132197,NA,NA,NA,Neobythites bimarginatus,N.E.,NA
Fis-132210,NA,NA,NA,Neobythites longiventralis,N.E.,NA
Fis-132217,NA,NA,NA,Neobythites neocaledoniensis,N.E.,NA
Fis-132233,NA,NA,NA,Neobythites zonatus,N.E.,NA
Fis-132241,NA,NA,NA,Neobythites multistriatus,N.E.,NA
Fis-132317,NA,NA,NA,Gadella brocca,N.E.,NA
Fis-132333,NA,NA,NA,Opistognathus brasiliensis,N.E.,NA
Fis-132336,NA,NA,NA,Argyripnus electronus,N.E.,NA
Fis-132339,NA,NA,NA,Dysomma opisthoproctus,N.E.,NA
Fis-132340,NA,NA,NA,Gorgasia taiwanensis,N.E.,NA
Fis-132344,NA,NA,NA,Fusigobius aureus,N.E.,NA
Fis-170742,NA,NA,NA,Gobiosoma seminudum,NA,NA
Fis-170741,NA,NA,NA,Gobiosoma aceras,NA,NA
Fis-132485,NA,NA,NA,Nezumia ventralis,N.E.,NA
Fis-132490,NA,NA,NA,Parvilux boschmai,N.E.,NA
Fis-132496,NA,NA,NA,Gobiomorus polylepis,N.E.,NA
Fis-132564,NA,NA,NA,Tripterophycis svetovidovi,N.E.,NA
Fis-132594,NA,NA,NA,Hoplolatilus pohle,N.E.,NA
Fis-132610,NA,NA,NA,Neobythites braziliensis,N.E.,NA
Fis-132619,NA,NA,NA,Xenomystax trucidans,NA,NA
Fis-132699,NA,NA,NA,Ophichthus exourus,N.E.,NA
Fis-132700,NA,NA,NA,Ophichthus genie,N.E.,NA
Fis-132711,NA,NA,NA,Ophichthus mystacinus,N.E.,NA
Fis-132757,NA,NA,NA,Laemonema macronema,N.E.,NA
Fis-132813,NA,NA,NA,Trichopsetta orbisulcus,N.E.,NA
Fis-132866,NA,NA,NA,Cantherhines longicaudus,N.E.,NA
Fis-133274,NA,NA,NA,Patagonotothen wiltoni,N.E.,NA
Fis-133279,NA,NA,NA,Paraliparis gracilis,N.E.,NA
Fis-133346,NA,NA,NA,Ilyophis arx,N.E.,NA
Fis-133351,NA,NA,NA,Epigonus crassicaudus,N.E.,NA
Fis-133413,NA,NA,NA,Chaenopsis roseola,N.E.,NA
Fis-133477,NA,NA,NA,Aphyonus bolini,N.E.,NA
Fis-133480,NA,NA,NA,Torpedo semipelagica,N.E.,NA
Fis-133486,NA,NA,NA,Gnathophis andriashevi,N.E.,NA
Fis-165225,NA,NA,NA,Bassanago nielseni,N.E.,NA
Fis-133510,NA,NA,NA,Bathypterois ventralis,N.E.,NA
Fis-133516,NA,NA,NA,Metelectrona ahlstromi,N.E.,NA
Fis-133519,NA,NA,NA,Ophidion metoecus,NA,NA
Fis-133521,NA,NA,NA,Diplacanthopoma jordani,N.E.,NA
Fis-167655,NA,NA,NA,Volodichthys parini,N.E.,NA
Fis-133533,NA,NA,NA,Careproctus steini,N.E.,NA
Fis-154874,NA,NA,NA,Praematoliparis anarthractae,N.E.,NA
Fis-133537,NA,NA,NA,Paraliparis merodontus,N.E.,NA
Fis-133560,NA,NA,NA,Acanthodraco dewitti,N.E.,NA
Fis-133568,NA,NA,NA,Epigonus fragilis,N.E.,NA
Fis-133573,NA,NA,NA,Epigonus glossodontus,N.E.,NA
Fis-133577,NA,NA,NA,Epigonus notacanthus,N.E.,NA
Fis-133584,NA,NA,NA,Epigonus marimonticolus,N.E.,NA
Fis-133587,NA,NA,NA,Epigonus elegans,N.E.,NA
Fis-133590,NA,NA,NA,Triacanthodes intermedius,N.E.,NA
Fis-133679,NA,NA,NA,Psettina senta,N.E.,NA
Fis-159526,NA,NA,NA,Coelorinchus melanosagmatus,N.E.,NA
Fis-133750,NA,NA,NA,Hollardia goslinei,N.E.,NA
Fis-133789,NA,NA,NA,Rexea alisae,N.E.,NA
Fis-133813,NA,NA,NA,Kasatkia seigeli,NA,NA
Fis-134030,NA,NA,NA,Heteroconger camelopardalis,NA,NA
Fis-134057,NA,NA,NA,Nettastoma falcinaris,N.E.,NA
Fis-134103,NA,NA,NA,Holtbyrnia intermedia,N.E.,NA
Fis-134108,NA,NA,NA,Chlorophthalmus zvezdae,N.E.,NA
Fis-140935,NA,NA,NA,Sigmops longipinnis,N.E.,NA
Fis-134125,NA,NA,NA,Chauliodus vasnetzovi,N.E.,NA
Fis-134133,NA,NA,NA,Evermannella megalops,N.E.,NA
Fis-134153,NA,NA,NA,Hygophum bruuni,N.E.,NA
Fis-134158,NA,NA,NA,Protomyctophum chilense,N.E.,NA
Fis-134165,NA,NA,NA,Melamphaes laeviceps,N.E.,NA
Fis-134170,NA,NA,NA,Osopsaron karlik,N.E.,NA
Fis-134171,NA,NA,NA,Pteropsaron incisum,N.E.,NA
Fis-134186,NA,NA,NA,Emmelichthys elongatus,N.E.,NA
Fis-134196,NA,NA,NA,Melanocetus niger,N.E.,NA
Fis-134197,NA,NA,NA,Ctenochirichthys longimanus,N.E.,NA
Fis-134198,NA,NA,NA,Oneirodes heteronema,N.E.,NA
Fis-134214,NA,NA,NA,Heteroconger enigmaticus,N.E.,NA
Fis-134259,NA,NA,NA,Heteroconger lentiginosus,N.E.,NA
Fis-134304,NA,NA,NA,Heteroconger tricia,N.E.,NA
Fis-134402,NA,NA,NA,Gorgasia naeocepaea,N.E.,NA
Fis-134406,NA,NA,NA,Gorgasia sillneri,N.E.,NA
Fis-134436,NA,NA,NA,Gerres decacanthus,NA,NA
Fis-134461,NA,NA,NA,Thalassobathia nelsoni,N.E.,NA
Fis-134468,NA,NA,NA,Sciadonus pedicellaris,N.E.,NA
Fis-134472,NA,NA,NA,Stethopristes eos,N.E.,NA
Fis-134474,NA,NA,NA,Nemadactylus gayi,N.E.,NA
Fis-134546,NA,NA,NA,Careproctus falklandicus,N.E.,NA
Fis-134550,NA,NA,NA,Careproctus novaezelandiae,N.E.,NA
Fis-134794,NA,NA,NA,Patagonotothen squamiceps,N.E.,NA
Fis-134861,NA,NA,NA,Girella albostriata,N.E.,NA
Fis-134880,NA,NA,NA,Callanthias parini,N.E.,NA
Fis-135703,NA,NA,NA,Abudefduf conformis,NA,NA
Fis-135708,NA,NA,NA,Plectroglyphidodon sagmarius,N.E.,NA
Fis-136219,NA,NA,NA,Conidens samoensis,NA,NA
Fis-136287,NA,NA,NA,Lepadichthys erythraeus,NA,NA
Fis-136547,NA,NA,NA,Malacocephalus okamurai,N.E.,NA
Fis-136640,NA,NA,NA,Gerres chrysops,N.E.,NA
Fis-137300,NA,NA,NA,Monochirus trichodactylus,N.E.,NA
Fis-137309,NA,NA,NA,Cynoglossus oligolepis,N.E.,NA
Fis-137470,NA,NA,NA,Careproctus credispinulosus,N.E.,NA
Fis-137475,NA,NA,NA,Bryaninops nexus,N.E.,NA
Fis-137479,NA,NA,NA,Careproctus scaphopterus,NA,NA
Fis-137489,NA,NA,NA,Callogobius producta,N.E.,NA
Fis-137493,NA,NA,NA,Callogobius crassus,N.E.,NA
Fis-137494,NA,NA,NA,Callogobius dori,NA,NA
Fis-137497,NA,NA,NA,Careproctus improvisus,N.E.,NA
Fis-137506,NA,NA,NA,Cyclothone kobayashii,N.E.,NA
Fis-137561,NA,NA,NA,Careproctus vladibeckeri,N.E.,NA
Fis-137566,NA,NA,NA,Paraliparis hubbsi,N.E.,NA
Fis-137567,NA,NA,NA,Paraliparis aspersus,N.E.,NA
Fis-137573,NA,NA,NA,Careproctus aculeolatus,N.E.,NA
Fis-137600,NA,NA,NA,Gyrinomimus bruuni,NA,NA
Fis-137617,NA,NA,NA,Genioliparis lindbergi,N.E.,NA
Fis-137841,NA,NA,NA,Sebastes notius,NA,NA
Fis-164162,NA,NA,NA,Bathylagoides nigrigenys,N.E.,NA
Fis-137933,NA,NA,NA,Plectranthias exsul,N.E.,NA
Fis-137949,NA,NA,NA,Girella feliciana,N.E.,NA
Fis-138005,NA,NA,NA,Chelidoperca lecromi,N.E.,NA
Fis-138011,NA,NA,NA,Ophidion saldanhai,N.E.,NA
Fis-138063,NA,NA,NA,Paracirrhites nisus,N.E.,NA
Fis-138067,NA,NA,NA,Brotulotaenia nielseni,N.E.,NA
Fis-138073,NA,NA,NA,Ophidion lozanoi,N.E.,NA
Fis-138074,NA,NA,NA,Ophidion exul,N.E.,NA
Fis-138078,NA,NA,NA,Bathyonus pectoralis,N.E.,NA
Fis-138083,NA,NA,NA,Dicrolene nigricaudis,NA,NA
Fis-138089,NA,NA,NA,Holcomycteronus pterotus,N.E.,NA
Fis-138091,NA,NA,NA,Leucicorus atlanticus,N.E.,NA
Fis-138096,NA,NA,NA,Neobythites crosnieri,N.E.,NA
Fis-138098,NA,NA,NA,Neobythites kenyaensis,N.E.,NA
Fis-138115,NA,NA,NA,Neobythites meteori,N.E.,NA
Fis-138116,NA,NA,NA,Neobythites natalensis,N.E.,NA
Fis-138119,NA,NA,NA,Porogadus melanocephalus,N.E.,NA
Fis-138121,NA,NA,NA,Porogadus atripectus,N.E.,NA
Fis-138122,NA,NA,NA,Porogadus longiceps,N.E.,NA
Fis-138133,NA,NA,NA,Bythites gerdae,N.E.,NA
Fis-161008,NA,NA,NA,Thermichthys hollisi,NA,NA
Fis-169647,NA,NA,NA,Parasaccogaster normae,N.E.,NA
Fis-138157,NA,NA,NA,Saccogaster staigeri,N.E.,NA
Fis-162810,NA,NA,NA,Alionematichthys minyomma,N.E.,NA
Fis-138172,NA,NA,NA,Barathronus diaphanus,N.E.,NA
