iucn_sid,pop_trend,am_sid,sciname,trend_score
185126,stable,Fis-29304,Blennius ocellaris,0
185127,stable,Fis-49074,Lipophrys trigloides,0
185128,stable,Fis-22731,Parablennius gattorugine,0
185129,unknown,NA,Ophioblennius atlanticus,NA
185133,unknown,Fis-30350,Neoclinus blanchardi,NA
185135,unknown,Fis-123846,Storrsia olsoni,NA
185136,unknown,Fis-125999,Parablennius salensis,NA
185137,unknown,Fis-148828,Platygillellus brasiliensis,NA
185138,unknown,Fis-143808,Parablennius dialloi,NA
185139,stable,NA,Scartella itajobi,0
185140,unknown,Fis-143809,Parablennius sierraensis,NA
185141,unknown,Fis-24687,Hypleurochilus aequipinnis,NA
185142,unknown,Fis-29876,Cryptotrema corallinum,NA
185144,unknown,NA,Scartella springeri,NA
185146,stable,Fis-32464,Tripterygion delaisi,0
185147,unknown,Fis-153727,Scartella poiti,NA
185148,unknown,Fis-146027,Labrisomus cricota,NA
185149,unknown,Fis-127090,Hypleurochilus fissicornis,NA
185151,unknown,NA,Microlipophrys caboverdensis,NA
185152,decreasing,NA,Lupinoblennius paivai,-0.5
185153,unknown,Fis-52206,Parablennius goreensis,NA
185155,stable,Fis-23442,Clinitrachus argentatus,0
185156,stable,Fis-167765,Microlipophrys canevae,0
185160,unknown,NA,Microlipophrys velifer,NA
185162,stable,Fis-49149,Parablennius ruber,0
185163,unknown,NA,Scartella nuchifilis,NA
185165,stable,Fis-26624,Coryphoblennius galerita,0
185166,unknown,NA,Scartella caboverdiana,NA
185168,stable,Fis-59174,Aidablennius sphynx,0
185170,unknown,Fis-27546,Hypleurochilus langi,NA
185171,unknown,Fis-30351,Neoclinus stephensae,NA
185172,unknown,Fis-148565,Emblemaria australis,NA
185175,stable,Fis-117893,Salaria pavo,0
185176,stable,NA,Entomacrodus vomerinus,0
185180,unknown,Fis-27330,Lipophrys pholis,NA
185181,stable,Fis-49127,Parablennius incognitus,0
185182,unknown,Fis-23467,Dactylopterus volitans,NA
185183,stable,Fis-31232,Blennius normani,0
185185,stable,Fis-23709,Parablennius tentacularis,0
185189,unknown,Fis-133388,Emblemaria hudsoni,NA
185190,unknown,Fis-145825,Paraclinus spectator,NA
185191,unknown,Fis-158435,Ophioblennius trinitatis,NA
185193,stable,Fis-23708,Parablennius sanguinolentus,0
185195,unknown,Fis-134781,Labrisomus philippii,NA
185196,stable,Fis-156279,Starksia guadalupae,0
185865,stable,Fis-24888,Phaeoptyx pigmentaria,0
185866,stable,Fis-24887,Phaeoptyx conklini,0
185868,unknown,Fis-24443,Astrapogon alutus,NA
185870,unknown,Fis-24444,Astrapogon puncticulatus,NA
185874,stable,Fis-24607,Eucinostomus lefroyi,0
185876,unknown,Fis-50003,Acyrtus rubiginosus,NA
185885,unknown,Fis-24814,Nes longus,NA
185887,unknown,Fis-28508,Ginsburgellus novemlineatus,NA
185919,stable,Fis-35002,Gramma linki,0
185920,stable,Fis-35003,Gramma melacara,0
185921,unknown,Fis-31311,Gramma loreto,NA
185922,unknown,Fis-24401,Acyrtops beryllinus,NA
185923,stable,Fis-24428,Apogon binotatus,0
185924,unknown,Fis-159857,Paroncheilus affinis,NA
185925,unknown,Fis-24427,Apogon aurolineatus,NA
185926,stable,Fis-29660,Apogon lachneri,0
185927,unknown,Fis-29661,Apogon leptocaulus,NA
185928,unknown,Fis-123655,Apogon robbyi,NA
185929,unknown,Fis-49406,Apogon robinsi,NA
185930,unknown,Fis-147919,Apogon gouldi,NA
185931,stable,Fis-22150,Apogon pseudomaculatus,0
185933,unknown,Fis-167323,Zapogon evermanni,NA
185934,unknown,Fis-29662,Apogon phenax,NA
185935,unknown,Fis-22151,Apogon quadrisquamatus,NA
185936,stable,Fis-24431,Apogon townsendi,0
185937,stable,Fis-24430,Apogon maculatus,0
185938,unknown,Fis-29663,Apogon pillionatus,NA
185941,unknown,Fis-35178,Barbulifer antennatus,NA
185942,unknown,Fis-24455,Barbulifer ceuthoecus,NA
185943,unknown,Fis-24459,Bathygobius curacao,NA
185945,unknown,Fis-144904,Bollmannia eigenmanni,NA
185946,unknown,Fis-149603,Bollmannia litura,NA
185947,unknown,Fis-29734,Bollmannia communis,NA
185956,unknown,Fis-29867,Coryphopterus venezuelae,NA
185959,unknown,Fis-29870,Coryphopterus punctipectophorus,NA
185962,unknown,Fis-29865,Coryphopterus dicrus,NA
185963,stable,Fis-150636,Ctenogobius boleosoma,0
185965,unknown,Fis-150648,Ctenogobius saepepallens,NA
185968,unknown,Fis-156281,Ctenogobius claytonii,NA
185969,unknown,Fis-165380,Ctenogobius phenacus,NA
185971,unknown,Fis-22224,Diapterus auratus,NA
185972,stable,Fis-24543,Dormitator maculatus,0
185981,unknown,Fis-169105,Tigrigobius multifasciatus,NA
185982,unknown,Fis-169094,Tigrigobius macrodon,NA
185989,stable,Fis-63724,Eleotris amblyopsis,0
185991,stable,Fis-24544,Eleotris pisonis,0
185992,unknown,Fis-24563,Erotelis smaragdus,NA
185993,unknown,Fis-23500,Eucinostomus melanopterus,NA
185994,stable,Fis-22225,Eucinostomus argenteus,0
185995,unknown,Fis-23498,Eucinostomus gula,NA
185996,unknown,Fis-49805,Eucinostomus jonesii,NA
185997,stable,Fis-23501,Eugerres plumieri,0
185998,stable,Fis-26582,Eugerres brasilianus,0
185999,unknown,Fis-24613,Evorthodus lyricus,NA
186003,unknown,Fis-24637,Gobiesox punctulatus,NA
186005,unknown,Fis-30060,Gobiesox strumosus,NA
186007,unknown,Fis-30061,Gobioides broussonnetii,NA
186008,unknown,Fis-30062,Gobiomorus dormitor,NA
186010,unknown,Fis-30067,Gobiosoma ginsburgi,NA
186012,unknown,Fis-16800,Gobiosoma bosc,NA
186019,unknown,Fis-63587,Guavina guavina,NA
186020,unknown,Fis-114945,Lipogramma rosea,NA
186021,stable,Fis-35007,Lipogramma klayi,0
186024,stable,Fis-35005,Lipogramma evides,0
186025,unknown,Fis-35004,Lipogramma anabantoides,NA
186026,unknown,Fis-114946,Lipogramma trilineata,NA
186033,unknown,Fis-30270,Lythrypnus nesiotes,NA
186035,unknown,Fis-30294,Microgobius carri,NA
186036,unknown,Fis-64133,Microgobius signatus,NA
186037,unknown,Fis-24780,Microgobius thalassinus,NA
186038,unknown,Fis-30295,Microgobius microlepis,NA
186039,unknown,Fis-64132,Microgobius meeki,NA
186040,unknown,Fis-24779,Microgobius gulosus,NA
186041,unknown,Fis-126117,Oxyurichthys stigmalophius,NA
186042,unknown,Fis-30454,Palatogobius paradoxus,NA
186043,unknown,Fis-141483,Parrella macropteryx,NA
186044,unknown,Fis-133989,Priolepis dawsoni,NA
186052,unknown,Fis-149229,Ptereleotris calliura,NA
186053,unknown,Fis-28620,Ptereleotris helenae,NA
186057,unknown,Fis-151281,Tomicodon leurodiscus,NA
186059,unknown,Fis-151279,Tomicodon cryptus,NA
186061,unknown,Fis-151283,Tomicodon rupestris,NA
186062,unknown,Fis-49978,Tomicodon fasciatus,NA
186088,unknown,Fis-27751,Oxyurichthys ophthalmonema,NA
186089,unknown,Fis-27597,Stenogobius gymnopomus,NA
186106,unknown,Fis-26619,Acantholabrus palloni,NA
186512,unknown,Fis-23180,Lycengraulis grossidens,NA
187368,unknown,Fis-161650,Bodianus dictynna,NA
187369,unknown,NA,Choerodon gomoni,NA
187370,unknown,Fis-142162,Halichoeres pardaleocephalus,NA
187371,unknown,Fis-142115,Choerodon margaritiferus,NA
187373,unknown,Fis-25725,Hemigymnus fasciatus,NA
187378,unknown,Fis-58702,Bodianus opercularis,NA
187379,unknown,Fis-25651,Coris variegata,NA
187381,stable,Fis-25735,Thalassoma lunare,0
187382,unknown,Fis-31475,Halichoeres marginatus,NA
187383,unknown,Fis-25718,Cheilio inermis,NA
187384,unknown,Fis-25705,Cheilinus chlorourus,NA
187385,unknown,NA,Pseudolabrus sieboldi,NA
187386,unknown,NA,Coris marquesensis,NA
187387,unknown,NA,Parajulis poecilepterus,NA
187388,unknown,NA,Macropharyngodon choati,NA
187390,unknown,Fis-149115,Suezichthys caudavittatus,NA
187392,decreasing,NA,Coris bulbifrons,-0.5
187393,unknown,Fis-31113,Paracheilinus mccoskeri,NA
187394,unknown,Fis-31238,Coris pictoides,NA
187395,unknown,Fis-146180,Iniistius aneitensis,NA
187396,unknown,Fis-25637,Labroides dimidiatus,NA
187397,stable,Fis-3208,Labrus mixtus,0
187398,unknown,Fis-29425,Labrus bergylta,NA
187399,unknown,NA,Iniistius umbrilatus,NA
187400,stable,Fis-34183,Choerodon vitta,0
187401,unknown,Fis-154652,Halichoeres dimidiatus,NA
187402,unknown,NA,Iniistius evides,NA
187403,unknown,Fis-31115,Paracheilinus filamentosus,NA
187404,unknown,NA,Bodianus albotaeniatus,NA
187405,unknown,Fis-24656,Halichoeres caudalis,NA
187406,unknown,Fis-28752,Hologymnosus longipes,NA
187407,unknown,Fis-25354,Wetmorella nigropinnata,NA
187408,unknown,NA,Xyrichtys woodi,NA
187409,unknown,Fis-139219,Ophthalmolepis lineolata,NA
187410,unknown,Fis-153187,Cirrhilabrus marjorie,NA
187411,unknown,Fis-146179,Iniistius pentadactylus,NA
187413,unknown,Fis-145250,Paracheilinus attenuatus,NA
187414,unknown,Fis-35500,Macropharyngodon kuiteri,NA
187415,unknown,Fis-145245,Cirrhilabrus earlei,NA
187416,unknown,Fis-57940,Macropharyngodon bipartitus,NA
187417,unknown,Fis-58535,Coris batuensis,NA
187418,stable,Fis-24372,Thalassoma pavo,0
187419,unknown,Fis-27838,Choerodon zamboangae,NA
187420,unknown,NA,Bodianus busellatus,NA
187421,unknown,Fis-161246,Paracheilinus walton,NA
187423,unknown,Fis-47538,Oxycheilinus orientalis,NA
187424,unknown,Fis-25730,Stethojulis bandanensis,NA
187425,unknown,Fis-58718,Conniella apterygia,NA
187426,stable,Fis-113792,Notolabrus tetricus,0
187427,unknown,Fis-146270,Cirrhilabrus bathyphilus,NA
187428,unknown,Fis-32540,Halichoeres leucoxanthus,NA
187429,unknown,NA,Bodianus sanguineus,NA
187430,unknown,Fis-27963,Choerodon cephalotes,NA
187431,unknown,Fis-31470,Pteragogus cryptus,NA
187434,unknown,Fis-139754,Stethojulis marquesensis,NA
187435,unknown,NA,Halichoeres socialis,NA
187436,stable,Fis-48603,Coris gaimard,0
187437,unknown,Fis-58768,Minilabrus striatus,NA
187438,unknown,Fis-21693,Halichoeres prosopeion,NA
187439,unknown,Fis-35453,Cirrhilabrus laboutei,NA
187440,unknown,Fis-132096,Cirrhilabrus condei,NA
187441,unknown,Fis-25713,Novaculichthys taeniourus,NA
187442,stable,NA,Pseudolabrus eoethinus,0
187443,unknown,Fis-25722,Halichoeres margaritaceus,NA
187444,unknown,Fis-24660,Halichoeres pictus,NA
187446,unknown,Fis-26205,Thalassoma cupido,NA
187447,unknown,Fis-32520,Cirrhilabrus jordani,NA
187448,unknown,Fis-25027,Tautogolabrus adspersus,NA
187450,unknown,Fis-31913,Coris dorsomacula,NA
187451,unknown,Fis-25351,Halichoeres argus,NA
187452,unknown,Fis-32427,Cirrhilabrus katherinae,NA
187453,stable,Fis-31146,Anampses elegans,0
187454,unknown,Fis-25723,Halichoeres scapularis,NA
187455,unknown,Fis-51943,Symphodus trutta,NA
187456,unknown,Fis-22199,Doratonotus megalepis,NA
187457,unknown,NA,Dotalabrus aurantiacus,NA
187458,unknown,NA,Cheilinus quinquecinctus,NA
187459,unknown,NA,Suezichthys cyanolaemus,NA
187462,unknown,Fis-31121,Pseudojuloides mesostigma,NA
187463,unknown,Fis-59763,Leptojulis urostigma,NA
187464,unknown,NA,Thalassoma newtoni,NA
187465,unknown,Fis-112900,Halichoeres stigmaticus,NA
187466,unknown,Fis-149118,Oxycheilinus digramma,NA
187467,unknown,Fis-57938,Halichoeres cosmetus,NA
187468,unknown,NA,Pseudolabrus semifasciatus,NA
187470,unknown,Fis-32087,Halichoeres tenuispinis,NA
187472,unknown,Fis-145573,Pseudocoris bleekeri,NA
187473,unknown,Fis-58538,Halichoeres vrolikii,NA
187474,unknown,Fis-25724,Halichoeres trimaculatus,NA
187475,stable,Fis-25196,Symphodus mediterraneus,0
187476,unknown,Fis-25726,Hemigymnus melapterus,NA
187477,unknown,Fis-25716,Pseudocheilinus hexataenia,NA
187478,unknown,Fis-138814,Halichoeres leucurus,NA
187479,decreasing,Fis-23293,Tautoga onitis,-0.5
187481,unknown,Fis-114122,Pseudolabrus miles,NA
187482,unknown,Fis-24655,Halichoeres bivittatus,NA
187483,unknown,Fis-32430,Cirrhilabrus melanomarginatus,NA
187485,unknown,Fis-25107,Suezichthys notatus,NA
187488,unknown,Fis-26865,Choerodon graphicus,NA
187489,unknown,Fis-25731,Stethojulis strigiventer,NA
187490,unknown,Fis-25732,Thalassoma amblycephalum,NA
187491,stable,Fis-114240,Austrolabrus maculatus,0
187492,stable,Fis-163966,Symphodus ocellatus,0
187494,unknown,Fis-145602,Paracheilinus cyaneus,NA
187495,decreasing,Fis-28988,Bodianus scrofa,-0.5
187496,unknown,Fis-149134,Cheilinus abudjubbe,NA
187497,unknown,Fis-31127,Labropsis xanthonota,NA
187498,unknown,Fis-119162,Coris ballieui,NA
187499,unknown,Fis-126141,Choerodon zosterophorus,NA
187500,unknown,NA,Thalassoma heiseri,NA
187501,unknown,NA,Cirrhilabrus aurantidorsalis,NA
187502,unknown,Fis-56865,Cirrhilabrus randalli,NA
187503,unknown,NA,Pseudojuloides argyreogaster,NA
187504,unknown,NA,Stethojulis maculata,NA
187505,unknown,Fis-113245,Cirrhilabrus flavidorsalis,NA
187506,decreasing,Fis-127204,Bodianus frenchii,-0.5
187507,unknown,Fis-31476,Halichoeres richmondi,NA
187508,unknown,NA,Pseudolabrus torotai,NA
187510,unknown,NA,Nelabrichthys ornatus,NA
187511,unknown,Fis-28602,Choerodon fasciatus,NA
187512,unknown,Fis-24657,Halichoeres cyanocephalus,NA
187513,unknown,NA,Anchichoerops natalensis,NA
187515,unknown,Fis-21695,Halichoeres podostigma,NA
187516,unknown,Fis-25660,Bodianus axillaris,NA
187517,unknown,Fis-25463,Diproctacanthus xanthurus,NA
187518,unknown,Fis-51740,Cirrhilabrus luteovittatus,NA
187519,unknown,Fis-114156,Pictilabrus laticlavius,NA
187520,decreasing,Fis-29141,Achoerodus gouldii,-0.5
187521,unknown,NA,Paracheilinus hemitaeniatus,NA
187522,unknown,Fis-27320,Symphodus bailloni,NA
187523,unknown,Fis-25704,Oxycheilinus bimaculatus,NA
187524,unknown,Fis-58778,Thalassoma rueppellii,NA
187525,unknown,Fis-145104,Terelabrus rubrovittatus,NA
187527,unknown,Fis-25728,Hologymnosus doliatus,NA
187529,unknown,NA,Choerodon frenatus,NA
187530,unknown,Fis-25711,Cymolutes torquatus,NA
187532,unknown,NA,Coris atlantica,NA
187533,unknown,Fis-35506,Pseudolabrus guentheri,NA
187534,unknown,Fis-46974,Halichoeres zeylonicus,NA
187535,unknown,Fis-113737,Notolabrus parilus,NA
187536,unknown,Fis-31473,Gomphosus varius,NA
187537,unknown,Fis-132342,Halichoeres orientalis,NA
187538,unknown,Fis-56858,Cirrhilabrus roseafascia,NA
187539,unknown,Fis-166561,Iniistius twistii,NA
187540,unknown,NA,Paracheilinus piscilineatus,NA
187541,stable,Fis-31025,Labrus merula,0
187542,unknown,NA,Pseudolabrus biserialis,NA
187543,unknown,Fis-161183,Cirrhilabrus cenderawasih,NA
187545,decreasing,Fis-21694,Halichoeres timorensis,-0.5
187546,unknown,Fis-24509,Clepticus parrae,NA
187547,unknown,Fis-25729,Pseudocoris yamashiroi,NA
187548,unknown,Fis-26247,Halichoeres nebulosus,NA
187549,unknown,Fis-24659,Halichoeres maculipinna,NA
187552,unknown,Fis-31111,Paracheilinus octotaenia,NA
187553,unknown,Fis-28743,Bodianus vulpinus,NA
187554,unknown,Fis-26201,Bodianus bilunulatus,NA
187555,stable,Fis-31147,Anampses chrysocephalus,0
187556,unknown,Fis-21797,Wetmorella albofasciata,NA
187558,unknown,Fis-139218,Suezichthys devisi,NA
187559,unknown,Fis-10657,Thalassoma hardwicke,NA
187560,unknown,Fis-31112,Paracheilinus lineopunctatus,NA
187561,unknown,Fis-28153,Halichoeres solorensis,NA
187562,unknown,Fis-25105,Suezichthys gracilis,NA
187563,unknown,Fis-26230,Stethojulis interrupta,NA
187564,unknown,Fis-31124,Halichoeres melasmapomus,NA
187565,decreasing,Fis-31474,Halichoeres biocellatus,-0.5
187566,unknown,Fis-113864,Notolabrus cinctus,NA
187567,stable,Fis-31145,Anampses lennardi,0
187568,decreasing,Fis-26998,Choerodon oligacanthus,-0.5
187569,unknown,Fis-32511,Gomphosus caeruleus,NA
187570,unknown,Fis-23396,Bodianus pulchellus,NA
187571,unknown,Fis-113168,Bodianus prognathus,NA
187572,stable,Fis-124446,Achoerodus viridis,0
187573,stable,Fis-25197,Symphodus rostratus,0
187574,unknown,Fis-30958,Suezichthys soelae,NA
187575,unknown,Fis-31478,Labroides pectoralis,NA
187578,unknown,Fis-25663,Choerodon anchorago,NA
187580,unknown,Fis-132105,Cirrhilabrus pylei,NA
187582,unknown,NA,Eupetrichthys angustipes,NA
187583,unknown,Fis-53989,Bodianus cylindriatus,NA
187584,unknown,Fis-24661,Halichoeres poeyi,NA
187587,unknown,Fis-25661,Bodianus diana,NA
187588,unknown,Fis-30957,Suezichthys aylingi,NA
187589,unknown,Fis-35356,Halichoeres iridis,NA
187590,unknown,NA,Cirrhilabrus sanguineus,NA
187591,unknown,NA,Pseudolabrus fuentesi,NA
187592,unknown,Fis-146177,Iniistius auropunctatus,NA
187594,unknown,Fis-31466,Pseudocheilinops ataenia,NA
187595,unknown,Fis-139509,Symphodus caeruleus,NA
187598,unknown,Fis-130735,Halichoeres bicolor,NA
187599,unknown,Fis-35327,Cirrhilabrus scottorum,NA
187600,unknown,Fis-142138,Halichoeres nigrescens,NA
187601,unknown,Fis-26688,Thalassoma ballieui,NA
187602,unknown,Fis-26708,Coris flavovittata,NA
187603,unknown,Fis-135071,Coris roseoviridis,NA
187604,unknown,Fis-127206,Pteragogus enneacanthus,NA
187605,unknown,NA,Xyrichtys sanctaehelenae,NA
187606,unknown,NA,Cirrhilabrus walshi,NA
187607,unknown,NA,Pseudojuloides erythrops,NA
187608,unknown,NA,Halichoeres burekae,NA
187609,unknown,Fis-35461,Cirrhilabrus lubbocki,NA
187610,unknown,Fis-146182,Iniistius celebicus,NA
187612,unknown,Fis-26212,Choerodon jordani,NA
187613,unknown,Fis-24537,Decodon puellaris,NA
187614,unknown,Fis-32429,Cirrhilabrus lunatus,NA
187617,unknown,NA,Thalassoma genivittatum,NA
187618,unknown,Fis-28623,Cheilinus lunulatus,NA
187619,unknown,NA,Bodianus bathycapros,NA
187620,unknown,Fis-21727,Labropsis manabei,NA
187621,unknown,Fis-31468,Pseudocheilinus octotaenia,NA
187622,unknown,Fis-161080,Epibulus brevis,NA
187623,unknown,Fis-155103,Iniistius dea,NA
187624,unknown,Fis-31123,Halichoeres chrysus,NA
187625,unknown,Fis-25717,Pteragogus guttatus,NA
187627,unknown,Fis-32426,Hologymnosus rhodonotus,NA
187628,unknown,NA,Coris debueni,NA
187629,unknown,NA,Xyrichtys pastellus,NA
187630,unknown,Fis-114176,Pictilabrus viridis,NA
187631,unknown,Fis-25464,Labrichthys unilineatus,NA
187632,unknown,Fis-26808,Stethojulis albovittata,NA
187633,unknown,Fis-113783,Notolabrus gymnogenis,NA
187634,unknown,Fis-26222,Halichoeres miniatus,NA
187635,unknown,Fis-145595,Paracheilinus flavianalis,NA
187638,unknown,Fis-31407,Bodianus bimaculatus,NA
187640,unknown,Fis-128051,Coris cuvieri,NA
187641,unknown,Fis-114118,Pseudolabrus mortonii,NA
187642,unknown,Fis-151743,Pseudocoris aurantiofasciata,NA
187643,unknown,Fis-35836,Bodianus insularis,NA
187644,unknown,Fis-32428,Cirrhilabrus lanceolatus,NA
187645,unknown,Fis-145556,Pseudojuloides severnsi,NA
187646,unknown,Fis-25662,Bodianus mesothorax,NA
187647,unknown,Fis-126144,Choerodon melanostigma,NA
187648,unknown,Fis-29117,Bodianus macrourus,NA
187649,unknown,Fis-31461,Cheilinus oxycephalus,NA
187651,unknown,Fis-32638,Pteragogus pelycus,NA
187652,unknown,Fis-25028,Thalassoma bifasciatum,NA
187653,stable,Fis-23846,Symphodus roissali,0
187654,decreasing,Fis-126019,Labrus viridis,-0.5
187655,unknown,Fis-166560,Iniistius melanopus,NA
187656,unknown,Fis-31116,Paracheilinus angulatus,NA
187657,unknown,Fis-159650,Iniistius griffithsi,NA
187658,unknown,Fis-31467,Pseudocheilinus evanidus,NA
187659,unknown,Fis-135029,Coris hewetti,NA
187661,unknown,Fis-58035,Bodianus neilli,NA
187662,unknown,Fis-113829,Notolabrus celidotus,NA
187663,stable,NA,Coris musume,0
187664,unknown,Fis-26673,Coris formosa,NA
187665,unknown,NA,Notolabrus inscriptus,NA
187667,unknown,Fis-21777,Macropharyngodon cyanoguttatus,NA
187668,unknown,Fis-58715,Cirrhilabrus johnsoni,NA
187669,unknown,NA,Xyrichtys incandescens,NA
187670,unknown,Fis-30093,Xyrichtys splendens,NA
187671,unknown,NA,Pseudolabrus gayi,NA
187672,unknown,Fis-23397,Bodianus rufus,NA
187673,unknown,Fis-28580,Halichoeres hortulanus,NA
187674,unknown,Fis-25708,Oxycheilinus unifasciatus,NA
187675,unknown,Fis-31129,Labropsis australis,NA
187677,unknown,Fis-25352,Halichoeres melanurus,NA
187678,stable,Fis-52009,Lappanella fasciata,0
187679,stable,Fis-26414,Coris picta,0
187680,unknown,Fis-21772,Macropharyngodon geoffroy,NA
187681,unknown,Fis-25710,Cymolutes praetextatus,NA
187682,unknown,NA,Cirrhilabrus morrisoni,NA
187683,unknown,Fis-29116,Bodianus macrognathos,NA
187684,unknown,Fis-26806,Pteragogus flagellifer,NA
187685,unknown,Fis-25736,Thalassoma lutescens,NA
187687,unknown,Fis-142137,Halichoeres chlorocephalus,NA
187688,unknown,Fis-28151,Pseudocoris heteroptera,NA
187689,unknown,Fis-26224,Stethojulis trilineata,NA
187690,unknown,Fis-26660,Bodianus leucosticticus,NA
187691,unknown,Fis-32637,Halichoeres lapillus,NA
187692,unknown,Fis-25409,Macropharyngodon meleagris,NA
187693,unknown,Fis-158172,Thalassoma nigrofasciatum,NA
187694,unknown,Fis-32086,Halichoeres melanochir,NA
187696,stable,Fis-25198,Xyrichtys novacula,0
187697,unknown,Fis-53992,Bodianus masudai,NA
187698,unknown,Fis-25727,Hologymnosus annulatus,NA
187699,unknown,Fis-163003,Halichoeres claudia,NA
187701,unknown,Fis-25355,Xenojulis margaritaceus,NA
187702,unknown,Fis-31125,Labropsis alleni,NA
187703,unknown,Fis-24654,Halichoeres bathyphilus,NA
187704,unknown,NA,Cirrhilabrus claire,NA
187705,unknown,Fis-7176,Iniistius pavo,NA
187706,unknown,Fis-58711,Cirrhilabrus blatteus,NA
187707,unknown,Fis-25739,Thalassoma trilobatum,NA
187708,unknown,NA,Cirrhilabrus katoi,NA
187709,unknown,Fis-24844,Oxyjulis californica,NA
187710,stable,Fis-31135,Anampses geographicus,0
187711,stable,Fis-26687,Thalassoma duperrey,0
187712,unknown,NA,Iniistius verrens,NA
187713,unknown,Fis-25703,Pseudodax moluccanus,NA
187714,stable,Fis-23845,Symphodus cinereus,0
187715,unknown,Fis-25659,Bodianus anthioides,NA
187716,unknown,Fis-31132,Anampses caeruleopunctatus,NA
187718,unknown,Fis-47531,Oxycheilinus arenatus,NA
187719,unknown,Fis-149111,Clepticus brasiliensis,NA
187720,unknown,Fis-145583,Choerodon sugillatum,NA
187722,unknown,Fis-25709,Epibulus insidiator,NA
187723,stable,Fis-31133,Anampses meleagrides,0
187724,unknown,Fis-24658,Halichoeres garnoti,NA
187726,unknown,Fis-35351,Cirrhilabrus rubriventralis,NA
187727,unknown,Fis-153058,Iniistius bimaculatus,NA
187728,unknown,Fis-31128,Labropsis micronesica,NA
187729,unknown,Fis-35456,Coris aurilineata,NA
187730,unknown,Fis-139755,Stethojulis notialis,NA
187731,unknown,Fis-146181,Iniistius baldwini,NA
187733,unknown,Fis-25738,Thalassoma quinquevittatum,NA
187734,unknown,NA,Choerodon venustus,NA
187735,unknown,Fis-58709,Oxycheilinus mentalis,NA
187736,unknown,Fis-23532,Halichoeres radiatus,NA
187737,unknown,Fis-159824,Oxycheilinus lineatus,NA
187738,unknown,Fis-139756,Stethojulis terina,NA
187739,unknown,Fis-25707,Cheilinus fasciatus,NA
187740,unknown,Fis-31469,Pseudocheilinus tetrataenia,NA
187741,unknown,Fis-134599,Pseudocheilinus citrinus,NA
187742,unknown,Fis-161547,Cirrhilabrus beauperryi,NA
187743,unknown,NA,Labropsis polynesica,NA
187744,unknown,Fis-28609,Bodianus loxozonus,NA
187745,unknown,NA,Xyrichtys blanchardi,NA
187746,unknown,Fis-25737,Thalassoma purpureum,NA
187747,unknown,Fis-26337,Choerodon robustus,NA
187748,stable,Fis-22769,Symphodus melops,0
187749,unknown,Fis-59735,Leptojulis chrysotaenia,NA
187750,unknown,Fis-58537,Halichoeres trispilus,NA
187751,stable,Fis-22752,Ctenolabrus rupestris,0
187752,stable,Fis-22750,Coris julis,0
187753,unknown,Fis-145609,Bodianus trilineatus,NA
187754,unknown,Fis-25999,Cymolutes lecluse,NA
187755,unknown,Fis-53996,Labroides rubrolabiatus,NA
187756,stable,Fis-49160,Symphodus melanocercus,0
187757,unknown,Fis-160832,Paracheilinus nursalim,NA
187758,stable,Fis-31144,Anampses cuvier,0
187759,stable,Fis-31134,Anampses neoguinaicus,0
187761,unknown,NA,Halichoeres brownfieldi,NA
187762,unknown,Fis-47564,Oxycheilinus celebicus,NA
187763,unknown,Fis-164874,Novaculichthys macrolepidotus,NA
187764,increasing,Fis-58728,Coris auricularis,0.5
187765,unknown,Fis-58720,Paracheilinus bellae,NA
187766,unknown,Fis-145088,Halichoeres kallochroma,NA
187767,unknown,Fis-31477,Labroides bicolor,NA
187768,unknown,Fis-35326,Macropharyngodon ornatus,NA
187769,unknown,Fis-35455,Cirrhilabrus punctatus,NA
187770,unknown,Fis-132106,Cirrhilabrus walindi,NA
187771,unknown,NA,Halichoeres penrosei,NA
187772,unknown,Fis-21770,Macropharyngodon negrosensis,NA
187773,stable,NA,Coris sandeyeri,0
187774,unknown,NA,Pseudojuloides pyrius,NA
187775,stable,Fis-132769,Symphodus doderleini,0
187777,unknown,Fis-28744,Polylepion russelli,NA
187779,unknown,Fis-26804,Thalassoma hebraicum,NA
187780,unknown,Fis-25734,Thalassoma jansenii,NA
187781,unknown,Fis-26672,Bodianus perditio,NA
187782,unknown,Fis-168177,Xyrichtys halsteadi,NA
187783,unknown,Fis-25720,Halichoeres hartzfeldii,NA
187784,stable,Fis-31137,Anampses twistii,0
187785,unknown,Fis-32554,Coris venusta,NA
187786,unknown,Fis-138798,Halichoeres pallidus,NA
187787,unknown,Fis-61804,Thalassoma noronhanum,NA
187790,unknown,Fis-60896,Halichoeres leptotaenia,NA
187791,unknown,Fis-153188,Paracheilinus rubricaudalis,NA
187792,unknown,Fis-134783,Coris centralis,NA
187793,unknown,Fis-53997,Macropharyngodon moyeri,NA
187794,unknown,Fis-31896,Choerodon monostigma,NA
187795,unknown,Fis-26807,Pteragogus taeniops,NA
187796,unknown,NA,Ammolabrus dicrus,NA
187797,unknown,Fis-27845,Leptojulis cyanopleura,NA
187798,unknown,Fis-138523,Cirrhilabrus adornatus,NA
187799,unknown,Fis-26709,Stethojulis balteata,NA
187800,stable,NA,Notolabrus fucicola,0
187801,unknown,Fis-32431,Cirrhilabrus rubrimarginatus,NA
187802,unknown,Fis-31472,Coris aygula,NA
187803,unknown,Fis-22745,Centrolabrus exoletus,NA
