Taxonkey,TaxonName,Common name
690268,Farfantepenaeus duorarum,Northern pink shrimp
690269,Pandalus borealis,Northern prawn
690270,Mercenaria mercenaria,Northern quahog
690271,Illex illecebrosus,Northern shortfin squid
690272,Litopenaeus setiferus,Northern white shrimp
690273,Nephrops norvegicus,Norway lobster
690274,Meganyctiphanes norvegica,Norwegian krill
690275,Arctica islandica,Ocean quahog
690279,Ostrea lurida,Olympia flat oyster
690282,Argopecten ventricosus,Pacific calico scallop
690283,Crassostrea gigas,Pacific cupped oyster
690284,Panopea abrupta,Pacific geoduck
690285,Protothaca staminea,Pacific littleneck clam
690286,Siliqua patula,Pacific razor clam
690287,Cancer productus,Pacific rock crab
690288,Xiphopenaeus riveti,Pacific seabob
690296,Loligo gahi,Patagonian squid
690302,Haliotis midae,Perlemoen abalone
690303,Argopecten purpuratus,Peruvian calico scallop
690305,Palinurus mauritanicus,Pink spiny lobster
690309,Tapes pullastra,Pullet carpet shell
690313,Chionoecetes opilio,Queen crab
690314,Aequipecten opercularis,Queen scallop
690318,Pyura stolonifera,Red bait
690320,Chaceon quinquedens,Red deepsea crab
690321,Jasus edwardsii,Red rock lobster
690322,Pyura chilensis,Red sea squirt
690325,Paralomis aculeata,Red stone crab
690327,Farfantepenaeus brasiliensis,Redspotted shrimp
690328,Penaeus penicillatus,Redtail prawn
690332,Mytilus platensis,River Plata mussel
690334,Sicyonia brevirostris,Rock shrimp
690335,Pleoticus robustus,Royal red shrimp
690337,Mya arenaria,Sand gaper
690338,Farfantepenaeus paulensis,Sao Paulo shrimp
690341,Panulirus homarus,Scalloped spiny lobster
690343,Plesiopenaeus edwardsianus,Scarlet shrimp
690354,Martialia hyadesi,Sevenstar flying squid
690356,Metapenaeus joyneri,Shiba shrimp
690364,Crassostrea iredalei,Slipper cupped oyster
690370,Paralomis granulosa,Softshell red crab
690374,Perna perna,South American rock mussel
690377,Lithodes antarcticus,Southern king crab
690378,Farfantepenaeus notialis,Southern pink shrimp
690379,Trachysalambria curvirostris,Southern rough shrimp
690381,Palinurus gilchristi,Southern spiny lobster
690383,Metapenaeus monoceros,Speckled shrimp
690387,Maja squinado,Spinous spider crab
690392,Squilla mantis,Spottail mantis squillid
690398,Mactromeris polynyma,Arctic surfclam
690399,Lithodes maia,Stone king crab
690400,Paracentrotus lividus,Stony sea urchin
690403,Aristeus varidens,Striped red shrimp
690404,Chamelea gallina,Striped venus
690411,Protothaca thaca,Taca clam
690420,Haliotis tuberculata,Tuberculate abalone
690423,Mimachlamys varia,Variegated scallop
690425,Necora puber,Velvet swimcrab
690429,Patinopecten caurinus,Weathervane scallop
690430,Nototodarus sloanii,Wellington flying squid
690432,Melicertus latisulcatus,Western king prawn
690433,Litopenaeus occidentalis,Western white shrimp
690434,Buccinum undatum,Whelk
690440,Litopenaeus vannamei,Whiteleg shrimp
690444,Farfantepenaeus californiensis,Yellowleg shrimp
690445,Pecten yessoensis,Yesso scallop
690470,Ommastrephes bartramii,Neon flying squid
690494,Strongylocentrotus droebachiensis,Green sea urchin
690595,Loligo forbesii,Veined Squid
690598,Scyllarides latus,Mediterranean slipper lobster
690606,Cervimunida johni,Carrot Squat Lobster
690608,Erimacrus isenbeckii,Hair Crab
690609,Haliporoides diomedeae,Chilean nylon shrimp
690610,Heterocarpus vicarius,Northern nylon shrimp
690611,Ibacus ciliatus,Sand Crayfish
690612,Lithodes aequispinus,Same-spine stone crab
690613,Megabalanus psittacus,Giant barnacle
690615,Pandalopsis japonica,Sidestripe shrimp
690616,Pandalus goniurus,Humpy shrimp
690617,Pandalus hypsinotus,Coonstriped shrimp
690618,Pandalus kessleri,Grass shrimp
690619,Panulirus gracilis,Blue spiny lobster
690620,Paralithodes brevipes,Spiny king crab
690621,Paralithodes camtschaticus,Red king crab
690622,Paralithodes platypus,Blue King Crab
690624,Pleuroncodes monodon,Squat Lobster
690625,Pleuroncodes planipes,Pelagic red crab
690628,Sicyonia ingentis,Ridgeback rock shrimp
690629,Tivela mactroides,Trigonal tivela
690631,Spisula ovalis,Venus clam
690651,Clinocardium nuttallii,Nuttall cockle
690658,Loligo opalescens,California market squid
690660,Pandalus jordani,Ocean shrimp
690665,Upogebia pugettensis,Blue mud shrimp
690666,Cardisoma guanhumi,Blue land crab
690671,Spisula solida,Surf clam
690674,Zidona dufresnei,Angulate volute
690675,Tapes rhomboides,Banded carpet shell
690676,Liocarcinus depurator,Blue-leg swimcrab
690677,Semele solida,Chilean semele
690678,Glycymeris glycymeris,Dog cockle
690679,Chlamys delicatula,Delicate scallop
690680,Palaemon longirostris,Delta prawn
690681,Thenus orientalis,Flathead lobster
690682,Tawera gayi,Gay's little venus
690684,Eledone cirrhosa,Horned octopus
690686,Zygochlamys patagonica,Patagonean scallop
690688,Paphies australis,Pipi wedge clam
690690,Callista chione,Smooth callista
690692,Chione stutchburyi,Stutchbury's venus
690693,Venus verrucosa,Warty venus
690694,Nematopalaemon schmitti,Whitebelly prawn
690696,Jasus novaehollandiae,Southern rock lobster
690750,Tonna galea,Helmet ton
690751,Pitar rostratus,Rostrate pitar
690753,Chaceon affinis,Deep-sea red crab
690754,Ensis ensis,Pod razor
690759,Pharus legumen,Bean solen
